Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League
2019,G,2,Ra'Shad James,TBB,15,34.5,32.5,11.625,27.125,0.535,4.75,12.5,0.48,4.5,6.125,0.9225,1.5,5.625,7.125,4.875,1.125,0.125,4.75,3.75,German BBL
2019,G,3,Austin Hollins,RAS,40,38.375,32.125,10.625,23.75,0.55875,6.0,15.0,0.5025000000000001,4.875,6.375,0.9712500000000001,1.5,3.625,5.125,3.5,4.5,1.25,3.625,5.5,German BBL
2019,G,4,Nihad Djedovic,BAY,41,29.375,30.875,10.625,20.0,0.6625000000000001,4.0,9.5,0.535,5.625,6.625,1.05125,1.5,5.5,7.0,7.25,3.25,0.25,3.875,4.25,German BBL
2019,G,5,Frantz Massenat,EWE,40,27.125,30.625,10.25,21.75,0.5912499999999999,4.5,12.125,0.47125,5.5,7.5,0.91375,0.75,5.0,5.75,8.25,2.625,0.125,2.5,6.375,German BBL
2019,G,6,Javonte Green,RUL,36,33.875,30.625,11.5,20.75,0.6937500000000001,2.125,6.125,0.4425,5.5,7.5,0.905,3.625,7.0,10.625,3.5,4.875,1.0,3.25,6.125,German BBL
2019,G,7,Ben Madgen,CRA,32,35.625,29.75,10.5,23.875,0.54625,4.625,13.25,0.44125,4.25,4.875,1.06625,1.875,6.5,8.375,3.375,2.0,0.125,3.25,4.125,German BBL
2019,G,8,Martin Hermannsson,BER,30,29.625,29.5,10.5,21.25,0.6174999999999999,3.75,9.5,0.48625,4.875,6.375,0.95,0.75,3.75,4.625,9.25,1.75,0.0,4.5,4.625,German BBL
2019,G,9,Gregor Hrovat,BAY,33,26.25,28.375,10.0,21.0,0.59625,3.125,9.0,0.4325,5.25,6.0,1.0875,1.625,5.0,6.625,8.0,3.125,0.25,4.75,6.375,German BBL
2019,G,10,Kassius Robertson,BAY,34,32.75,28.25,9.125,20.625,0.55375,5.875,12.625,0.57875,4.125,4.375,1.1724999999999999,0.625,3.875,4.5,6.25,1.375,0.0,3.875,3.125,German BBL
2019,G,11,Julius Jenkins,SCJ,30,34.25,26.0,8.125,19.875,0.515,5.0,12.5,0.49375,4.625,5.75,1.0125000000000002,0.875,4.0,4.875,4.125,2.5,0.125,2.5,4.875,German BBL
2019,G,12,Lee Moore,BC,32,32.25,24.75,10.125,20.375,0.625,1.25,4.625,0.35125000000000006,3.125,6.25,0.625,3.5,6.75,10.25,6.125,3.0,0.125,3.375,4.75,German BBL
2019,G,13,Thomas Klepeisz,BLB,37,31.75,24.75,6.75,15.875,0.5287499999999999,4.75,11.375,0.52,6.625,7.375,1.12,1.25,3.0,4.25,10.875,1.75,0.125,3.5,5.875,German BBL
2019,G,14,Pendarvis Williams,GOE,34,27.875,24.375,9.0,21.375,0.52625,2.625,8.25,0.3925,3.75,4.125,1.15375,1.5,5.5,7.0,5.75,2.875,0.875,3.875,4.375,German BBL
2019,G,15,Elston Turner,EIS,32,39.5,24.125,9.375,21.5,0.545,3.875,9.875,0.49,1.5,1.875,1.0162499999999999,0.625,4.125,4.75,7.125,1.5,0.375,2.875,4.25,German BBL
2019,G,16,Tremmell Darden,BC,26,33.625,23.5,9.0,18.25,0.61625,1.25,4.75,0.3125,4.25,5.375,0.9925,2.625,7.25,9.875,5.125,2.125,2.375,2.75,5.0,German BBL
2019,G,17,Larry Gordon,GIE,34,35.5,23.25,8.625,16.75,0.64375,2.5,6.0,0.515,3.5,4.375,1.0174999999999998,3.5,8.75,12.125,4.125,1.5,0.375,3.0,4.5,German BBL
2019,G,18,Martynas Mazeika,SCJ,25,22.5,23.25,7.5,18.25,0.51125,2.25,6.75,0.41625,6.0,8.0,0.9375,2.5,2.375,5.0,5.375,1.5,0.0,4.375,7.875,German BBL
2019,G,19,Aaron Best,LUD,25,24.125,22.75,7.375,17.0,0.53875,3.875,10.625,0.45625,4.25,6.25,0.8500000000000001,4.125,4.5,8.625,2.125,1.25,0.125,2.5,6.0,German BBL
2019,G,20,Vojdan Stojanovski,EWE,40,25.5,22.625,8.25,17.875,0.58125,2.0,6.0,0.4325,3.875,4.5,1.08625,2.25,4.125,6.375,2.75,1.375,0.5,2.125,8.0,German BBL
2019,G,21,Skyler Bowlin,OLI,28,31.0,22.5,7.5,18.375,0.51,4.875,12.875,0.47875,2.5,3.5,0.8837499999999999,0.5,4.375,4.875,9.625,3.25,0.125,4.625,5.25,German BBL
2019,G,22,Bryce Taylor,BRO,30,25.75,21.125,7.125,15.75,0.57125,4.75,10.875,0.5475,2.0,2.25,1.14125,1.25,4.625,5.875,3.25,2.125,0.375,0.625,5.375,German BBL
2019,G,23,Jordon Crawford,LUD,31,38.875,21.0,7.75,17.875,0.54,3.0,7.5,0.5062500000000001,2.5,3.25,0.96125,0.75,4.125,5.0,11.375,2.75,0.0,4.125,5.0,German BBL
2019,G,24,Stefan Jovic,BAY,35,23.125,20.25,7.75,17.5,0.555,2.0,6.75,0.37625,2.75,3.625,0.9299999999999999,0.75,4.625,5.375,15.5,3.625,0.5,4.375,5.875,German BBL
2019,G,25,Nikos Zisis,BRO,36,29.125,18.125,5.625,13.125,0.5325,2.25,6.125,0.44999999999999996,4.75,5.5,1.0875,1.0,5.125,6.125,10.875,1.0,0.0,3.875,6.75,German BBL
2019,G,26,Dominic Lockhart,GOE,33,30.75,17.25,5.875,12.375,0.5912499999999999,1.25,4.25,0.36624999999999996,4.25,6.625,0.805,3.125,5.0,8.0,9.625,2.125,0.25,5.0,7.125,German BBL
2019,G,27,Patrick Heckmann,BRO,33,23.0,16.375,5.625,11.5,0.60875,2.0,4.75,0.52125,3.125,3.75,1.0525,1.0,6.625,7.625,4.75,1.75,0.625,2.75,6.25,German BBL
2019,G,28,Joe Rahon,BLB,37,29.875,16.125,6.375,14.0,0.56125,1.375,4.75,0.375,2.125,3.5,0.76,0.375,6.375,6.75,11.875,2.125,0.125,4.75,4.5,German BBL
