Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,Zane Waterman,F,6-9,220,BG Goettingen,Fayetteville (NC),"2018 NBA Draft, Undrafted",United States
2019,Nelson Weidemann,G,6-2,185,Brose Baskets Bamberg,Berlin,"2021 NBA Draft, Undrafted",Germany
2019,Nick Weiler-Babb,F,6-5,205,MHP Riesen,Arlington (TX),"2019 NBA Draft, Undrafted",United StatesGermany
2019,Jonas Weitzel,FC,6-8,226,s.Oliver Baskets,Kassel,"2020 NBA Draft, Undrafted",Germany
2019,Cameron Wells,G,6-1,195,s.Oliver Baskets,Houston (TX),"2011 NBA Draft, Undrafted",United States
2019,Nico Wenzl,G,5-10,155,Medi Bayreuth,Weiden,"2023 NBA Draft, Undrafted",Germany
2019,Leon Williams,G,5-10,165,BG Goettingen,Amersfoort,"2013 NBA Draft, Undrafted",Netherlands
2019,Derek Willis,F,6-9,230,Ratiopharm Ulm,Mount Washington (KY),"2017 NBA Draft, Undrafted",United States
2019,Thomas Wimbush,G,6-7,200,MHP Riesen,Lorain (OH),"2017 NBA Draft, Undrafted",United States
2019,Jonas Wohlfarth-Bottermann,FC,6-10,220,MHP Riesen,Bonn,"2012 NBA Draft, Undrafted",Germany
2019,James Woodard,G,6-3,192,Medi Bayreuth,Edmond (OK),"2016 NBA Draft, Undrafted",United States
2019,Kevin Yebo,FC,6-8,205,Hamburg Towers,Bonn,"2018 NBA Draft, Undrafted",Germany
2019,Josh Young,G,6-1,170,SC Rasta Vechta,Lawton (OK),"2010 NBA Draft, Undrafted",United States
2019,Garai Zeeb,G,6-2,175,Basketball Lowen Braunschweig,Leimen,"2019 NBA Draft, Undrafted",Germany
2019,Stephen Zimmerman,C,6-11,240,Telekom Baskets Bonn,Hendersonville (TN),2016 Rnd 2 Pick 11,United States
2019,Paul Zipser,F,6-8,226,Bayern Munich,Heidelberg,2016 Rnd 2 Pick 18,Germany
2019,Ferdinand Zylka,G,6-3,170,Mitteldeutscher BC,Berlin,"2020 NBA Draft, Undrafted",Germany
2019,Jaroslaw Zyskowski,F,6-7,220,SC Rasta Vechta,Wroclaw,"2014 NBA Draft, Undrafted",Poland
2019,Gabriel de Oliveira,F,6-10,225,Telekom Baskets Bonn,N/A,"2019 NBA Draft, Undrafted",Brazil
2020,Norris Agbakoko,C,7-1,220,EWE Baskets Oldenburg,N/A,"2022 NBA Draft, Undrafted",Germany
2020,Bryon Allen,G,6-3,202,Basketball Lowen Braunschweig,Upper Marlboro (MD),"2014 NBA Draft, Undrafted",United States
2020,Kadeem Allen,G,6-3,200,BV Chemnitz 99,Wilmington (NC),2017 Rnd 2 Pick 23,United States
2020,Sandro Antunovic,F,6-8,235,Mitteldeutscher BC,Sarajevo,"2020 NBA Draft, Undrafted",Bosnia and Herzegovina
2020,Chris Babb,G,6-5,225,Telekom Baskets Bonn,Arlington (TX),"2013 NBA Draft, Undrafted",United States
2020,Elias Baggette,G,6-0,155,Brose Baskets Bamberg,Berlin,2024 NBA Draft Eligible,Germany
2020,Wade Baldwin IV,G,6-4,220,Bayern Munich,Bellemead (NJ),2016 Rnd 1 Pick 17,United States
2020,Cat Barber,G,6-1,173,Mitteldeutscher BC,Hampton (VA),"2016 NBA Draft, Undrafted",United States
