Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2023,SG,19,Nate Robinson,MAN,23,9.7,14.4,5.4,15.7,.342,1.7,6.9,.250,1.9,2.4,.818,1.7,1.9,3.7,3.2,1.5,0.0,3.4,3.7
2023,SG,20,Joshua Steel,SUR,23,25.9,12.0,4.4,10.1,.432,2.3,5.8,.403,1.0,1.3,.750,1.5,3.0,4.4,3.6,1.5,0.2,2.3,2.7
2023,SG,21,Corey Johnson,MAN,8,16.2,11.1,3.3,9.7,.346,1.5,7.1,.211,3.0,3.0,1.000,0.7,5.6,6.3,1.9,1.1,0.0,1.9,4.1
2023,SG,22,Corey Samuels,BRI,38,11.3,10.8,3.6,10.9,.327,1.8,6.2,.286,1.9,3.1,.607,2.5,4.3,6.8,3.7,2.1,0.0,2.6,4.7
2023,SG,23,Patrick Lanipekun,PLY,30,10.8,8.4,2.7,11.8,.225,1.2,7.3,.163,1.9,3.0,.650,1.2,3.0,4.1,2.1,0.7,0.0,3.3,4.4
2023,SG,24,Kyle Jimenez,CAL,35,15.2,7.3,2.5,6.3,.400,1.8,4.0,.455,0.5,0.5,.833,1.0,1.4,2.4,6.2,1.4,0.0,3.3,4.5
2023,SG,25,Callum Jones,MAN,36,8.6,5.1,2.0,4.5,.448,0.0,0.0,.000,1.1,1.6,.700,2.8,3.7,6.5,4.8,0.9,0.2,2.5,7.5
2023,SF,1,Sam Dekker,LON,22,23.7,33.3,12.4,22.8,.544,3.0,8.7,.347,5.4,7.3,.747,2.3,7.8,10.1,6.3,2.6,0.7,4.3,1.7
2023,SF,2,Javion Hamlet,NEW,31,31.5,30.1,10.3,21.6,.475,1.6,4.8,.327,8.0,9.2,.862,1.0,3.6,4.6,5.3,1.6,0.1,3.0,3.7
2023,SF,3,Ovie Soko,LON,11,19.2,27.0,10.2,17.5,.584,0.2,1.4,.167,6.4,10.0,.636,2.3,9.3,11.6,4.3,1.8,0.2,5.4,7.9
2023,SF,4,V.J. King,BRI,36,31.9,26.5,9.2,20.8,.445,2.4,7.4,.330,5.6,7.5,.749,1.9,7.6,9.5,2.9,1.2,0.3,3.2,2.7
2023,SF,5,Dirk Williams,MAN,38,35.0,26.1,9.1,19.4,.468,4.5,10.3,.442,3.4,4.4,.756,0.9,4.7,5.6,3.3,1.8,0.9,3.0,2.5
