Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2008,PG,6,Eddie Shannon,STR,30,31.7,19.7,6.9,16.3,.424,2.9,8.2,.350,2.9,3.6,.806,0.9,3.0,3.9,6.9,1.6,0.2,3.4,3.4
2008,PG,7,Afik Nissim,STR,25,24.6,19.4,6.9,18.4,.373,2.9,9.9,.291,2.7,3.3,.833,0.8,2.4,3.2,5.9,1.5,0.0,2.9,3.4
2008,PG,8,Steed Tchicamboud,CHO,31,30.9,18.7,6.2,16.0,.388,2.2,7.0,.307,4.1,5.6,.732,0.9,4.8,5.7,5.6,1.8,0.2,4.2,4.4
2008,PG,9,Xavier Corosine,CHA,29,15.9,16.9,6.1,15.6,.393,3.2,9.8,.330,1.4,2.0,.684,0.7,2.8,3.5,4.4,2.2,0.0,3.9,5.1
2008,PG,10,Pape-Philippe Amagou,NAN,36,21.5,15.6,5.1,12.6,.409,2.0,5.8,.340,3.3,4.8,.692,0.8,3.6,4.4,6.4,0.9,0.0,3.2,4.3
2008,PG,11,Maximiliano Stanic,PAU,27,29.8,12.7,3.8,9.7,.387,2.4,6.5,.367,2.8,3.8,.734,0.8,4.4,5.2,11.9,2.9,0.2,4.6,4.5
2008,PG,12,Aymeric Jeanneau,LYV,33,24.6,12.7,3.8,8.1,.467,1.9,4.6,.416,3.2,3.8,.831,0.6,3.1,3.7,8.1,1.4,0.2,3.7,6.1
2008,PG,13,Aldo Curti,ORL,29,21.6,12.0,3.6,7.8,.461,1.0,2.3,.433,3.8,4.9,.766,0.8,3.2,4.0,6.0,2.1,0.0,3.1,6.5
2008,PG,14,Yannick Bokolo,LEM,35,21.5,11.6,4.6,10.3,.444,0.2,2.1,.091,2.3,3.9,.581,1.8,3.2,5.0,6.0,1.5,0.3,2.7,4.8
2008,PG,15,Antoine Diot,LEM,35,15.3,11.6,4.3,10.7,.403,1.0,4.5,.220,2.0,2.5,.786,1.5,4.1,5.7,7.1,3.0,0.2,2.5,6.5
2008,PG,16,Marc-Antoine Pellin,ROA,35,26.6,10.8,3.8,7.5,.500,1.5,3.6,.435,1.7,2.2,.786,0.4,3.8,4.2,7.7,3.2,0.1,2.7,2.6
2008,PG,17,Vincent Mouillard,PLV,29,21.6,10.1,2.9,8.8,.333,2.2,6.1,.350,2.2,3.0,.718,0.5,3.8,4.4,5.8,1.9,0.1,2.5,3.8
2008,PG,18,Gauthier Darrigand,STR,29,17.6,10.0,3.3,9.7,.340,1.2,5.3,.232,2.2,3.0,.719,0.8,3.1,3.9,4.5,2.1,0.0,3.9,5.8
2008,PG,19,Steeve Essart,GRV,27,23.8,8.7,2.6,8.3,.315,1.2,4.5,.267,2.3,3.2,.721,0.8,3.4,4.2,7.2,1.9,0.0,2.7,3.3
2008,PG,20,Ahmed Fellah,ORL,28,24.4,7.0,2.4,6.0,.400,0.9,3.2,.283,1.3,2.0,.621,2.1,3.5,5.6,5.2,3.0,0.0,3.0,3.9
2008,SG,1,Brandon Heath,ORL,25,22.8,25.3,8.4,21.8,.388,3.2,9.7,.330,5.2,6.2,.838,1.9,4.0,6.0,4.0,2.4,0.0,4.3,3.3
2008,SG,2,Thomas Dubiez,GRV,27,16.4,23.7,8.0,15.5,.517,3.7,8.9,.415,3.9,4.6,.857,0.4,3.0,3.5,2.7,2.8,0.1,2.8,5.9
2008,SG,3,Brion Rush,ROA,36,31.8,22.8,8.3,21.1,.391,3.0,10.6,.281,3.3,4.3,.775,1.8,4.7,6.5,5.0,2.9,0.3,3.4,2.9
2008,SG,4,Je'Kel Foster,PLV,29,33.4,21.0,7.8,16.1,.482,3.5,8.7,.403,2.0,3.0,.667,0.6,4.1,4.7,4.3,3.4,0.2,3.1,4.0
