Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2023,Nikolaos Kamarianos,G,6-8,205,Kolossos Rodou BC,Athens,"2019 NBA Draft, Undrafted",Greece
2023,Georgios Kamperidis,G,6-8,210,AS Karditsas,N/A,"2021 NBA Draft, Undrafted",Greece
2023,Evdoxios Kapetakis,F,6-7,-,AS Karditsas,N/A,2027 NBA Draft Eligible,Greece
2023,Antonios Karagiannidis,C,6-9,-,ASP Promitheas Patras,N/A,2024 NBA Draft Eligible,Greece
2023,Zois Karampelas,G,6-1,180,AEK Athens,Athens,"2023 NBA Draft, Undrafted",Greece
2023,Sotiris Karapostolou,G,6-5,215,Aris BC,Larissa,"2000 NBA Draft, Undrafted",Greece
2023,Leonidas Kaselakis,C,6-7,210,Peristeri BC,Cholargos,"2012 NBA Draft, Undrafted",Greece
2023,Dimitrios Katsivelis,F,6-5,210,Aris BC,Thessaloniki,"2013 NBA Draft, Undrafted",Greece
2023,Vassilis Kavvadas,F,6-8,255,GS Lavrio,Athens,"2013 NBA Draft, Undrafted",Greece
2023,Vasilis Kazamias,F,6-5,-,Aris BC,N/A,2029 NBA Draft Eligible,Greece
2023,Marek Klassen,G,6-1,180,AS Karditsas,Abbotsford,"2015 NBA Draft, Undrafted",Canada
2023,Brandon Knight,G,6-2,182,AEK Athens,Miami (FL),2011 Rnd 1 Pick 8,United States
2023,Georgios Kogionis,C,6-9,227,AS Apollon Patras,N/A,"2023 NBA Draft, Undrafted",Greece
2023,Iosif Koloveros,G,6-1,185,Kolossos Rodou BC,N/A,2024 NBA Draft Eligible,Greece
2023,Antonios Koniaris,G,6-4,190,ASP Promitheas Patras,Chania,"2019 NBA Draft, Undrafted",Greece
2023,Thomas Kottas,C,6-10,250,AEK Athens,Ptolemaida,"2018 NBA Draft, Undrafted",Greece
2023,Ioannis Kouzeloglou,F,6-8,202,AEK Athens,Thessaloniki,"2017 NBA Draft, Undrafted",Greece
2023,Arturs Kurucs,G,6-3,190,ASP Promitheas Patras,Cesis,"2022 NBA Draft, Undrafted",Latvia
2023,Mindaugas Kuzminskas,F,6-9,215,AEK Athens,Vilnius,"2011 NBA Draft, Undrafted",Lithuania
2023,Angelos Lagios,F,6-7,205,ASP Promitheas Patras,N/A,2025 NBA Draft Eligible,Greece
2023,Georgios Lampropoulos,F,6-6,-,GS Lavrio,N/A,2027 NBA Draft Eligible,Greece
2023,Giannoulis Larentzakis,GF,6-5,200,Olympiacos,Amarousio,"2015 NBA Draft, Undrafted",Greece
2023,Ricky Ledo,GF,6-7,197,AEK Athens,Providence (RI),2013 Rnd 2 Pick 13,United States
2023,Mathias Lessort,F,6-9,250,Panathinaikos,Fort-de-France,2017 Rnd 2 Pick 20,France
2023,Elijah Long,G,6-1,190,Peristeri BC,Mississauga,"2020 NBA Draft, Undrafted",Canada
2023,Naz Long,G,6-4,218,Olympiacos,Mississauga,"2017 NBA Draft, Undrafted",CanadaGreece
2023,Michail Lountzis,G,6-4,185,Olympiacos,Amarousio,"2020 NBA Draft, Undrafted",Greece
2023,Jermaine Love-Roberts,G,6-2,175,Peristeri BC,Chicago Heights (IL),"2012 NBA Draft, Undrafted",United States
2023,Marko Lukovic,F,6-10,192,Maroussi BC,Belgrade,"2014 NBA Draft, Undrafted",Serbia
2023,Tevin Mack,F,6-6,223,AS Karditsas,Columbia (SC),"2020 NBA Draft, Undrafted",United States
2023,Fotios Malelis,F,6-9,205,AS Karditsas,Athens,"2020 NBA Draft, Undrafted",Greece
2023,Lefteris Mantzoukas,F,6-9,220,Panathinaikos,Ioannina,2025 NBA Draft Eligible,Greece
2023,Stylianos Maragkoudakis,G,5-11,-,Peristeri BC,N/A,2028 NBA Draft Eligible,Greece
2023,Ioannis Maragoudakis,-,-,-,Peristeri BC,N/A,2024 NBA Draft Eligible,Greece
2023,Marios Marathonitis,G,6-4,-,AEK Athens,N/A,2028 NBA Draft Eligible,Greece
2023,Evangelos Margaritis,FC,6-8,245,PAOK BC,Athens,"2004 NBA Draft, Undrafted",Greece
2023,Emmanouil Mataliotakis,F,6-8,205,AEK Athens,N/A,"2016 NBA Draft, Undrafted",Greece
2023,Ray McCallum,G,6-3,191,AS Karditsas,Beverly Hills (MI),2013 Rnd 2 Pick 6,United States
2023,Tre'Darius McCallum,F,6-7,215,AS Karditsas,Myrtle Beach (SC),"2018 NBA Draft, Undrafted",United States
2023,Shaquielle McKissic,F,6-5,200,Olympiacos,Seattle (WA),"2015 NBA Draft, Undrafted",United States
2023,Ben McLemore,G,6-3,195,AEK Athens,St. Louis (MO),2013 Rnd 1 Pick 7,United States
2023,Jamuni McNeace,C,6-10,222,PAOK BC,Allen (TX),"2019 NBA Draft, Undrafted",United States
2023,Jordan McRae,G,6-5,179,AEK Athens,Savannah (GA),2014 Rnd 2 Pick 28,United States
2023,Samuel Mennenga,F,6-9,240,AS Karditsas,Auckland,2025 NBA Draft Eligible,New Zealand
2023,Michal Michalak,G,6-5,190,PAOK BC,Pabianice,"2015 NBA Draft, Undrafted",Poland
2023,Giorgos Militsopoulos,G,6-3,-,AS Apollon Patras,N/A,2028 NBA Draft Eligible,Greece
2023,Nikola Milutinov,C,7-0,220,Olympiacos,Novi Sad,2015 Rnd 1 Pick 26,Serbia
2023,Kostas Mitoglou,F,6-10,245,Panathinaikos,Thessaloniki,"2018 NBA Draft, Undrafted",Greece
2023,Khalid Moore,F,6-7,208,GS Lavrio,Jamaica (NY),"2023 NBA Draft, Undrafted",United States
2023,Dimitris Moraitis,G,6-4,172,Panathinaikos,Amarousio,"2021 NBA Draft, Undrafted",Greece
2023,Jordan Morgan,F,6-8,249,AEK Athens,Detroit (MI),"2014 NBA Draft, Undrafted",United StatesSlovenia
2023,Vasilis Mouratos,G,6-4,192,GS Lavrio,Amarousio,"2019 NBA Draft, Undrafted",Greece
2023,Omer Netzipoglou,G,6-5,176,AEK Athens,N/A,2024 NBA Draft Eligible,Greece
2023,Alexandros Nikolaidis,G,6-3,174,Maroussi BC,N/A,2024 NBA Draft Eligible,Greece
2023,Ioannis Nikolaou,-,-,-,AEK Athens,N/A,2029 NBA Draft Eligible,Greece
2023,Kendrick Nunn,G,6-3,190,Panathinaikos,Chicago (IL),"2018 NBA Draft, Undrafted",United States
2023,Sotirios Oikonomopoulos,G,6-3,-,GS Lavrio,N/A,2025 NBA Draft Eligible,Greece
2023,Isiah Osborne,G,6-5,180,Maroussi BC,Windsor,"2020 NBA Draft, Undrafted",Canada
2023,Malik Osborne,F,6-9,225,AS Apollon Patras,Matteson (IL),"2022 NBA Draft, Undrafted",United States
2023,Kostas Papadakis,G,6-3,173,Kolossos Rodou BC,Athens,"2020 NBA Draft, Undrafted",Greece
2023,Giannis Papageorgopoulos,F,6-9,-,Maroussi BC,N/A,"2013 NBA Draft, Undrafted",Greece
2023,Minas Papagiannis,F,6-6,-,Kolossos Rodou BC,N/A,2024 NBA Draft Eligible,Greece
2023,Kostas Papanikolaou,F,6-8,225,Olympiacos,Trikala,2012 Rnd 2 Pick 18,Greece
2023,Ioannis Papapetrou,F,6-8,225,Panathinaikos,Patras,"2014 NBA Draft, Undrafted",Greece
2023,George Papas,GF,6-5,175,ASP Promitheas Patras,Jersey City (NJ),"2022 NBA Draft, Undrafted",United StatesGreece
2023,Stefan Peno,G,6-6,200,Maroussi BC,Belgrade,"2019 NBA Draft, Undrafted",Serbia
2023,Josh Perkins,G,6-2,190,AS Apollon Patras,Denver (CO),"2019 NBA Draft, Undrafted",United States
2023,London Perrantes,G,6-1,194,Kolossos Rodou BC,Encino (CA),"2017 NBA Draft, Undrafted",United States
2023,Nikos Persidis,F,6-7,216,Aris BC,Chalcis,"2017 NBA Draft, Undrafted",Greece
2023,Alec Peters,F,6-9,225,Olympiacos,Washington (IL),2017 Rnd 2 Pick 24,United States
2023,Andreas Petropoulos,G,6-5,220,Kolossos Rodou BC,N/A,"2018 NBA Draft, Undrafted",Greece
2023,Filip Petrusev,FC,6-11,225,Olympiacos,Belgrade,2021 Rnd 2 Pick 20,Serbia
2023,Alfis Pilavios,F,6-5,200,AEK Athens,Athens,"2022 NBA Draft, Undrafted",Greece
2023,Konstantinos Pilitsis,G,6-1,-,AS Karditsas,N/A,2029 NBA Draft Eligible,Greece
2023,Nikolaos Plotas,G,6-4,-,ASP Promitheas Patras,N/A,2026 NBA Draft Eligible,Greece
2023,Tyler Polley,F,6-9,215,Kolossos Rodou BC,Weston (FL),"2022 NBA Draft, Undrafted",United States
2023,"Kevin Porter, Jr.",F,6-4,203,PAOK BC,Seattle (WA),2019 Rnd 1 Pick 30,United States
2023,Stelios Poulianitis,G,6-2,178,Peristeri BC,Thessaloniki,"2017 NBA Draft, Undrafted",Greece
2023,Grigorios Prekas,F,6-6,-,ASP Promitheas Patras,N/A,2028 NBA Draft Eligible,Greece
2023,Miroslav Raduljica,C,7-0,250,Maroussi BC,Belgrade,"2010 NBA Draft, Undrafted",Serbia
2023,Joe Ragland,G,6-0,185,Peristeri BC,Springfield (MA),"2012 NBA Draft, Undrafted",United States
2023,Chasson Randle,G,6-3,185,AEK Athens,Rock Island (IL),"2015 NBA Draft, Undrafted",United States
2023,"Eric Reed, Jr.",G,6-1,195,Aris BC,Baton Rouge (LA),"2023 NBA Draft, Undrafted",United States
2023,Nate Renfro,F,6-8,205,Peristeri BC,Tucson (AZ),"2019 NBA Draft, Undrafted",United States
2023,Cam Reynolds,F,6-7,225,ASP Promitheas Patras,Pearland (TX),"2018 NBA Draft, Undrafted",United States
2023,Anastasios Rozakeas,F,6-7,-,Olympiacos,N/A,2028 NBA Draft Eligible,Greece
2023,Christos Saloustros,F,6-7,205,AS Apollon Patras,Heraklion,"2012 NBA Draft, Undrafted",Greece
2023,Alexandros Samodurov,C,6-11,200,Panathinaikos,Thessaloniki,2027 NBA Draft Eligible,Greece
2023,Ismael Sanogo,F,6-8,215,Aris BC,Newark (NJ),"2018 NBA Draft, Undrafted",United States
2023,Stavros Schizas,GF,6-5,205,PAOK BC,Athens,"2014 NBA Draft, Undrafted",Greece
2023,Jeremy Sheppard,G,6-1,165,AS Apollon Patras,Chesterfield (VA),"2022 NBA Draft, Undrafted",United States
2023,Simi Shittu,FC,6-10,240,Kolossos Rodou BC,London,"2019 NBA Draft, Undrafted",EnglandCanada
2023,Jordan Sibert,G,6-4,187,AS Karditsas,Cincinnati (OH),"2015 NBA Draft, Undrafted",United States
2023,Luke Sikma,F,6-8,235,Olympiacos,Bellevue (WA),"2011 NBA Draft, Undrafted",United States
2023,Gerel Simmons,G,6-2,195,Kolossos Rodou BC,Accokeek (MD),"2016 NBA Draft, Undrafted",United States
2023,Naiki Simpante,-,-,-,Maroussi BC,N/A,"2023 NBA Draft, Undrafted",Greece
2023,Gaios Skordilis,F,6-10,275,AS Apollon Patras,Corfu,"2009 NBA Draft, Undrafted",Greece
2023,Theodoros Skoulariotis,G,6-2,-,PAOK BC,N/A,2027 NBA Draft Eligible,Greece
2023,Diamantis Slaftsakis,F,6-7,195,Aris BC,Panorama,"2016 NBA Draft, Undrafted",Greece
2023,Kostas Sloukas,G,6-2,210,Panathinaikos,Thessaloniki,"2012 NBA Draft, Undrafted",Greece
2023,Kendall Smith,G,6-3,190,PAOK BC,Antioch (CA),"2018 NBA Draft, Undrafted",United States
2023,Mitchell Smith,C,6-10,221,AS Karditsas,Van Buren (AR),"2022 NBA Draft, Undrafted",United States
2023,Aris Sotiriou,F,6-8,190,PAOK BC,Athens,2024 NBA Draft Eligible,Greece
