Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2023,SG,7,Ante Delas,RIB,2,28.7,22.6,6.7,14.2,.471,2.5,7.5,.333,6.7,8.4,.800,0.8,1.7,2.5,7.5,0.8,0.0,3.3,2.5
2023,SG,8,Dominik Mavra,SPL,34,24.9,21.9,6.8,16.3,.415,2.6,7.9,.329,5.8,7.2,.803,0.5,4.1,4.5,10.6,1.5,0.0,3.9,4.8
2023,SG,9,Martin Jelic,SRKL,32,28.3,20.1,7.8,16.3,.477,3.0,8.0,.377,1.5,1.9,.806,1.3,4.9,6.2,2.8,1.6,0.3,2.8,5.0
2023,SG,10,Luka Katura,BOS,20,25.6,19.8,7.1,15.8,.452,3.5,9.5,.366,2.1,2.3,.880,0.7,5.3,5.9,2.3,1.2,0.0,1.3,3.8
2023,SG,11,Emir Sabic,CEJR,35,19.6,19.8,6.5,14.4,.454,5.2,11.5,.451,1.5,1.8,.880,0.7,3.2,3.9,3.5,1.0,0.0,2.0,3.9
2023,SG,12,Ivan Majcunic,CIB,36,24.5,18.2,5.8,13.0,.448,3.9,9.0,.436,2.6,3.2,.814,0.9,5.2,6.1,3.5,1.5,0.2,1.9,3.5
2023,SG,13,Maksim Matulina,ZAD,18,3.1,18.0,5.1,13.7,.375,0.0,5.1,.000,7.7,9.4,.818,3.4,2.6,6.0,6.9,0.0,0.0,5.1,5.1
2023,SG,14,Vito Porobic,VEL,30,15.6,17.9,6.4,15.2,.423,1.9,4.7,.413,3.1,4.3,.714,1.8,3.8,5.6,5.3,1.6,0.1,2.4,7.4
2023,SG,15,Petar Babic,BOS,31,20.6,17.5,5.8,13.3,.435,3.1,8.5,.363,2.9,3.8,.745,0.5,4.6,5.1,6.3,3.3,0.1,3.2,7.2
2023,SG,16,Arijan Lakic,ZAD,38,26.8,16.9,5.8,12.9,.451,2.2,6.5,.341,3.0,4.9,.610,1.5,5.6,7.0,6.0,2.6,0.4,2.3,4.2
2023,SG,17,Luka Skoric,SIB,34,23.8,16.2,6.4,15.5,.412,2.1,7.0,.297,1.3,1.6,.815,1.0,5.8,6.8,2.4,1.7,0.8,3.1,6.0
2023,SG,18,Aleksandar Aranitovic,CIB,30,25.8,16.1,6.0,13.3,.453,2.0,6.5,.314,2.0,2.6,.762,1.1,6.1,7.2,4.6,3.5,0.4,1.9,5.0
