Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality,League
2023,SF,33,Josip Vidovic,RIB,2,22.0,9.8,2.2,8.7,0.25,1.1,6.5,0.167,4.4,5.4,0.8,1.1,5.4,6.5,7.6,3.3,0.0,5.4,6.5,2023,F,-,-,KK Ribola Kastela,,"2022 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2023,PF,2,Lewis Sullivan,SPL,33,18.6,30.5,12.8,21.9,0.584,0.9,2.4,0.355,4.0,5.2,0.761,5.9,10.2,16.2,2.5,3.0,1.0,3.7,5.9,2023,F,6-7,231,KK Split,Hazel Green (AL),"2019 NBA Draft, Undrafted",United States,Croatian Basketball League
2024,PF,3,Lewis Sullivan,SPL,22,17.7,26.7,10.2,18.6,0.55,0.4,2.6,0.143,5.9,7.5,0.787,5.1,9.0,14.0,3.8,3.4,1.1,3.9,6.8,2023,F,6-7,231,KK Split,Hazel Green (AL),"2019 NBA Draft, Undrafted",United States,Croatian Basketball League
2023,PF,3,Krunoslav Simon,CEJR,24,25.6,27.1,8.7,17.4,0.502,4.2,9.5,0.443,5.4,5.8,0.932,1.1,8.4,9.5,8.4,2.1,0.5,5.2,3.0,2023,F,6-6,220,KK Cedevita Junior Zagreb,Zagreb,"2007 NBA Draft, Undrafted",Croatia,Croatian Basketball League
2023,PF,8,Christian Peevy,ALK,17,22.8,25.3,9.0,16.7,0.541,0.1,0.6,0.2,7.1,8.6,0.826,3.5,7.4,10.9,1.7,2.2,0.2,2.7,4.2,2023,G,6-7,210,KK Alkar,Chicago (IL),"2022 NBA Draft, Undrafted",United States,Croatian Basketball League
2023,PF,9,Ante Perkusic,RIB,2,35.2,23.8,10.2,21.1,0.484,2.7,8.2,0.333,0.7,2.7,0.25,0.7,15.0,15.7,1.4,2.0,0.0,4.1,5.5,2020,PF,6-5,-,KK Split,,2024 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,PF,29,Ante Perkusic,SPL,14,8.7,10.7,3.9,10.7,0.37,1.6,5.9,0.267,1.2,1.6,0.75,2.0,8.3,10.3,3.6,1.2,0.4,3.2,7.5,2020,PF,6-5,-,KK Split,,2024 NBA Draft Eligible,Croatia,Croatian Basketball League
2024,PF,7,Ante Perkusic,SPL,21,12.8,21.2,8.7,16.6,0.527,2.9,8.6,0.333,0.9,1.4,0.625,2.9,7.9,10.7,3.4,2.5,0.2,2.5,5.2,2020,PF,6-5,-,KK Split,,2024 NBA Draft Eligible,Croatia,Croatian Basketball League
2023,PF,11,Tyrell Nelson,SPL,38,23.6,23.0,9.4,16.5,0.571,0.6,2.1,0.308,3.5,4.6,0.756,5.0,6.1,11.1,3.2,1.9,0.6,3.6,5.3,2023,F,6-7,235,KK Split,Charlotte (NC),"2017 NBA Draft, Undrafted",United States,Croatian Basketball League
2023,PF,14,"Juan Davis, Jr.",ZAD,40,21.3,19.6,7.2,17.0,0.424,2.5,9.1,0.272,2.7,3.2,0.842,3.6,6.1,9.7,2.0,1.4,1.1,2.3,5.4,2023,F,6-8,205,KK Zadar,West Point (MS),"2018 NBA Draft, Undrafted",United States,Croatian Basketball League
