"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2021,C,18,Youssoupha Fall,BASK,31.0,14.625,30.0,11.125,18.5,0.7475,0.0,0.0,0.0,7.75,11.375,0.85125,7.5,12.125,19.5,1.875,0.5,3.5,7.0,8.75,2019,C,"7-3",271,Baskonia,Dakar,"2017 NBA Draft, Undrafted",Senegal,Spanish ACB
2020,C,19,Felipe Reyes,RMB,15.0,11.25,25.75,9.375,20.875,0.55875,2.25,4.5,0.625,4.875,5.75,1.0575,8.875,8.875,17.75,3.5,1.375,1.375,4.875,9.375,2019,FC,"6-9",265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain,Spanish ACB
2021,C,55,Felipe Reyes,RMB,11.0,8.75,15.625,5.5,17.25,0.3975,0.75,2.375,0.41625,3.875,5.5,0.8925,4.75,11.0,15.625,3.125,0.75,0.0,6.25,7.0,2019,FC,"6-9",265,Real Madrid,Cordoba,"2002 NBA Draft, Undrafted",Spain,Spanish ACB
2020,C,20,Kenneth Kadji,EST,21.0,31.375,25.0,9.75,22.75,0.53375,2.875,8.5,0.41625,2.75,4.125,0.83375,3.25,7.125,10.375,2.375,2.125,1.875,4.5,7.25,2019,C,"6-11",242,Movistar Estudiantes,Douala,"2013 NBA Draft, Undrafted",CameroonUnited States,Spanish ACB
2020,C,21,Jasiel Rivero,SPB,16.0,24.125,24.25,8.875,19.375,0.575,2.125,5.625,0.47375,4.25,7.5,0.705,3.625,8.125,11.875,2.375,0.625,1.125,3.5,7.0,2019,C,"6-9",220,Hereda San Pablo Burgos,Havana,"2015 NBA Draft, Undrafted",Cuba,Spanish ACB
2021,F,5,Jasiel Rivero,SPB,35.0,29.25,31.375,11.5,20.625,0.69875,1.25,4.75,0.3275,7.125,10.875,0.81875,4.375,9.875,14.25,2.75,1.75,1.125,4.375,6.125,2019,C,"6-9",220,Hereda San Pablo Burgos,Havana,"2015 NBA Draft, Undrafted",Cuba,Spanish ACB
2022,C,9,Jasiel Rivero,VAL,34.0,24.75,30.375,11.75,21.5,0.685,0.75,3.25,0.30375,6.125,10.875,0.69625,6.875,5.5,12.375,2.5,2.625,0.875,3.5,6.625,2019,C,"6-9",220,Hereda San Pablo Burgos,Havana,"2015 NBA Draft, Undrafted",Cuba,Spanish ACB
2023,C,4,Jasiel Rivero,VAL,25.0,24.5,35.75,13.125,21.0,0.7775,1.375,3.0,0.55,8.25,13.75,0.7475,5.75,7.0,12.75,2.25,2.125,1.875,3.0,5.5,2019,C,"6-9",220,Hereda San Pablo Burgos,Havana,"2015 NBA Draft, Undrafted",Cuba,Spanish ACB
2020,C,22,Ilimane Diop,BASK,28.0,17.625,24.125,6.875,15.0,0.56875,1.25,4.0,0.385,9.25,10.75,1.07375,5.5,9.125,14.625,0.875,2.25,4.0,3.375,9.875,2019,C,"6-11",216,Baskonia,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal,Spanish ACB
2021,C,29,Ilimane Diop,BASK,31.0,12.875,24.5,8.125,19.25,0.5275,2.875,7.875,0.44625,5.5,6.375,1.06625,2.875,6.75,9.625,3.25,1.375,2.5,2.125,10.75,2019,C,"6-11",216,Baskonia,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal,Spanish ACB
2022,C,46,Ilimane Diop,GCN,24.0,14.125,15.875,5.25,13.875,0.47625,0.625,4.625,0.17875,4.625,6.25,0.9375,4.25,10.0,14.125,0.875,2.0,1.75,5.25,10.625,2019,C,"6-11",216,Baskonia,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal,Spanish ACB
2023,C,21,Ilimane Diop,MUR,33.0,16.0,26.75,8.125,19.75,0.5125,2.5,7.75,0.40875,8.125,9.75,1.0325,5.375,8.125,13.5,1.5,1.25,1.75,4.25,12.375,2019,C,"6-11",216,Baskonia,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal,Spanish ACB
2020,C,24,Juan Palacios,EST,23.0,25.125,23.875,10.375,25.5,0.51,0.75,3.125,0.3125,2.375,4.5,0.6425,3.625,7.125,10.75,2.75,2.875,0.5,2.5,7.25,2019,F,"6-9",244,Movistar Estudiantes,Medellin,"2008 NBA Draft, Undrafted",Colombia,Spanish ACB
2020,C,25,Kyle Hunt,MUR,21.0,18.125,23.875,10.625,16.75,0.79375,0.0,0.0,0.0,2.625,5.125,0.625,6.5,9.875,16.375,0.75,2.0,1.625,3.5,11.125,2019,F,"6-10",229,UCAM Murcia CB,Queens (NY),"2013 NBA Draft, Undrafted",United States,Spanish ACB
2020,C,26,Egidijus Mockevicius,MON,20.0,22.125,23.875,10.0,15.875,0.785,0.0,0.0,0.0,3.875,8.625,0.56375,7.125,11.375,18.375,2.5,2.25,2.375,3.875,9.5,2019,PF,"6-10",237,Urbas Fuenlabrada,Kursenai,"2016 NBA Draft, Undrafted",Lithuania,Spanish ACB
2020,C,27,Ben Lammers,BBB,28.0,24.5,23.75,10.125,17.0,0.745,0.0,0.25,0.0,3.5,5.25,0.83375,6.5,8.125,14.625,1.75,2.875,5.625,3.0,6.75,2019,C,"6-10",234,Bilbao Basket,San Antonio (TX),"2018 NBA Draft, Undrafted",United States,Spanish ACB
2024,C,24,Ben Lammers,GCN,28.0,22.5,26.625,10.75,19.75,0.685,1.125,3.375,0.40125,3.875,5.125,0.95875,4.5,7.5,12.0,3.0,2.625,4.125,2.0,5.25,2019,C,"6-10",234,Bilbao Basket,San Antonio (TX),"2018 NBA Draft, Undrafted",United States,Spanish ACB
2020,C,29,Augusto Lima,SPB,29.0,25.875,22.5,10.125,16.75,0.75125,0.0,0.0,0.0,2.25,7.75,0.36875,7.625,10.0,17.625,2.75,2.75,3.25,3.25,6.875,2019,PF,"6-10",235,Hereda San Pablo Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil,Spanish ACB
2021,C,49,Augusto Lima,MUR,33.0,26.625,18.875,8.625,15.75,0.68625,0.0,0.125,0.0,1.5,5.25,0.36875,8.5,11.625,20.125,5.5,2.875,2.625,4.875,7.75,2019,PF,"6-10",235,Hereda San Pablo Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil,Spanish ACB
2022,C,35,Augusto Lima,MUR,34.0,28.375,22.125,9.75,14.375,0.84875,0.0,0.125,0.0,2.625,6.375,0.51875,8.375,9.875,18.25,6.875,2.375,1.25,4.75,7.5,2019,PF,"6-10",235,Hereda San Pablo Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil,Spanish ACB
2023,F,44,Augusto Lima,UNI,13.0,19.875,16.0,6.375,12.5,0.64,0.25,0.625,0.625,2.875,6.125,0.595,7.25,8.125,15.375,6.375,1.5,2.375,3.5,9.0,2019,PF,"6-10",235,Hereda San Pablo Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil,Spanish ACB
2024,F,46,Augusto Lima,UNI,13.0,10.875,13.25,4.75,11.75,0.51125,0.0,1.125,0.0,3.75,9.0,0.515,2.125,10.625,12.75,5.375,1.625,2.625,2.625,4.75,2019,PF,"6-10",235,Hereda San Pablo Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil,Spanish ACB
2020,C,32,Osas Ehigitor,MON,19.0,16.75,21.125,7.75,11.5,0.84125,0.0,0.25,0.0,5.625,9.375,0.75,4.25,7.5,11.75,0.75,1.375,1.875,4.25,11.0,2019,C,"6-10",202,Urbas Fuenlabrada,Seville,"2021 NBA Draft, Undrafted",Spain,Spanish ACB
2023,C,42,Osas Ehigitor,MON,12.0,11.125,19.625,7.875,15.125,0.64875,0.0,0.0,0.0,3.875,7.25,0.6725,5.625,6.125,11.75,2.25,2.75,0.0,4.5,7.875,2019,C,"6-10",202,Urbas Fuenlabrada,Seville,"2021 NBA Draft, Undrafted",Spain,Spanish ACB
2020,C,33,William Magarity,MAN,23.0,23.375,20.875,7.75,18.0,0.5425,3.5,10.625,0.41125,1.875,2.125,1.08375,2.75,7.25,10.0,1.125,1.0,1.25,2.25,4.875,2019,FC,"6-11",250,BAXI Manresa,Rasunda,"2018 NBA Draft, Undrafted",Sweden,Spanish ACB
2021,C,39,William Magarity,GBC,31.0,18.0,21.875,7.75,20.0,0.48625,3.375,11.125,0.37625,3.0,3.5,1.0575,2.5,6.875,9.375,2.0,1.125,1.375,2.75,5.75,2019,FC,"6-11",250,BAXI Manresa,Rasunda,"2018 NBA Draft, Undrafted",Sweden,Spanish ACB
2020,C,34,Dusan Sakota,MUR,16.0,16.125,20.25,7.25,21.75,0.41625,4.375,14.5,0.375,1.5,2.625,0.695,2.0,5.75,7.875,2.625,0.625,1.5,3.5,6.375,2019,FC,"6-10",222,UCAM Murcia CB,Belgrade,"2008 NBA Draft, Undrafted",SerbiaGreece,Spanish ACB
2020,C,35,Tryggvi Hlinason,ZAR,28.0,17.625,20.25,8.125,14.875,0.67625,0.0,0.0,0.0,4.125,6.875,0.75,4.375,6.75,11.125,2.0,0.25,4.875,3.25,6.75,2019,C,"7-1",260,Casademont Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland,Spanish ACB
2021,C,27,Tryggvi Hlinason,ZAR,36.0,21.75,25.25,10.75,14.5,0.9275,0.0,0.25,0.0,3.875,6.375,0.74625,5.375,11.25,16.5,2.25,1.5,3.625,3.875,7.75,2019,C,"7-1",260,Casademont Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland,Spanish ACB
2022,C,34,Tryggvi Hlinason,ZAR,34.0,21.25,22.375,9.375,14.625,0.7975,0.0,0.125,0.0,3.75,7.75,0.6,7.75,8.75,16.625,0.875,1.5,5.125,4.0,9.375,2019,C,"7-1",260,Casademont Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland,Spanish ACB
2023,C,33,Tryggvi Hlinason,ZAR,33.0,24.375,22.75,9.0,11.625,0.97,0.0,0.125,0.0,4.625,8.0,0.7125,6.125,9.375,15.375,2.625,1.125,5.375,4.0,8.75,2019,C,"7-1",260,Casademont Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland,Spanish ACB
2024,C,27,Tryggvi Hlinason,BBB,26.0,22.5,24.25,9.625,16.625,0.72125,0.0,0.0,0.0,5.0,8.0,0.78625,6.0,11.125,17.25,4.0,1.375,3.5,5.375,8.375,2019,C,"7-1",260,Casademont Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland,Spanish ACB
2020,C,36,Mamadou Niang,BETIS,18.0,20.5,20.125,9.375,13.75,0.845,0.0,0.25,0.0,1.375,2.25,0.795,5.625,11.0,16.625,1.25,1.375,1.875,3.5,5.5,2019,C,"6-10",235,Coosur Real Betis,Thies,"2016 NBA Draft, Undrafted",Senegal,Spanish ACB
2021,C,48,Mamadou Niang,BETIS,14.0,16.0,19.125,8.375,12.75,0.8225,0.0,0.375,0.0,2.375,6.75,0.4375,5.375,10.125,15.5,2.0,0.625,1.375,3.75,6.75,2019,C,"6-10",235,Coosur Real Betis,Thies,"2016 NBA Draft, Undrafted",Senegal,Spanish ACB
2023,C,30,Mamadou Niang,GRA,31.0,26.375,23.875,10.125,14.125,0.8925,0.0,0.125,0.0,3.625,5.75,0.79375,5.375,11.0,16.375,1.75,1.25,3.25,1.75,4.375,2019,C,"6-10",235,Coosur Real Betis,Thies,"2016 NBA Draft, Undrafted",Senegal,Spanish ACB
2020,C,37,Ivan Cruz,BBB,23.0,12.5,18.875,7.875,19.375,0.50625,0.25,3.875,0.08375,2.875,3.125,1.14625,3.625,9.625,13.375,2.375,1.875,0.5,5.0,6.25,2019,C,"6-10",237,Bilbao Basket,Madrid,"2016 NBA Draft, Undrafted",Spain,Spanish ACB
2022,C,38,Ivan Cruz,BRE,33.0,23.25,21.5,8.75,17.25,0.6325,2.375,6.625,0.44125,1.625,2.0,1.0125,4.125,12.0,16.125,1.875,1.75,0.625,2.0,3.75,2019,C,"6-10",237,Bilbao Basket,Madrid,"2016 NBA Draft, Undrafted",Spain,Spanish ACB
2023,C,41,Ivan Cruz,ZAR,17.0,21.75,20.25,8.125,17.375,0.58125,1.875,6.5,0.35125,2.25,4.0,0.6875,3.25,9.5,12.75,3.5,1.875,0.75,4.0,2.625,2019,C,"6-10",237,Bilbao Basket,Madrid,"2016 NBA Draft, Undrafted",Spain,Spanish ACB
2020,C,39,Ruben Guerrero,UNI,26.0,12.875,16.5,5.625,11.625,0.60125,0.0,0.25,0.0,5.375,8.25,0.81125,5.125,9.875,15.0,1.5,0.5,1.75,3.125,8.25,2019,F,"7-0",240,Unicaja,Marbella,"2019 NBA Draft, Undrafted",Spain,Spanish ACB
2021,C,53,Ruben Guerrero,UNI,36.0,18.0,16.25,7.25,11.0,0.82875,0.0,0.0,0.0,1.75,2.5,0.8525,5.625,8.5,14.25,2.0,1.875,1.0,2.75,8.625,2019,F,"7-0",240,Unicaja,Marbella,"2019 NBA Draft, Undrafted",Spain,Spanish ACB
2022,F,45,Ruben Guerrero,UNI,33.0,16.25,14.25,6.5,10.625,0.75625,0.0,0.0,0.0,1.375,2.125,0.83375,6.625,9.5,16.125,1.5,1.0,2.25,3.25,9.0,2019,F,"7-0",240,Unicaja,Marbella,"2019 NBA Draft, Undrafted",Spain,Spanish ACB
2023,F,22,Ruben Guerrero,OBR,34.0,21.0,22.0,8.875,14.875,0.74875,0.0,0.125,0.0,4.125,5.875,0.87,6.25,9.875,16.125,2.25,1.0,2.375,3.625,8.875,2019,F,"7-0",240,Unicaja,Marbella,"2019 NBA Draft, Undrafted",Spain,Spanish ACB
