Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2019,T.J. Campbell,G,5-9,190,Turk Telekom,Phoenix (AZ),"2010 NBA Draft, Undrafted",United States
2019,Berkay Candan,F,6-8,211,Fenerbahce Beko,Fatih,"2015 NBA Draft, Undrafted",Turkey
2019,Dusan Cantekin,C,7-2,246,Bursaspor,Kragujevac,"2012 NBA Draft, Undrafted",SerbiaTurkey
2019,Koray Cekici,F,6-6,-,Royal Hali Gaziantep,N/A,2024 NBA Draft Eligible,Turkey
2019,Mert Celep,F,6-9,210,Demir Insaat Buyukcekmece,Izmir,"2017 NBA Draft, Undrafted",Turkey
2019,Rakeem Christmas,F,6-9,255,Ormanspor Genc Ankara,Philadelphia (PA),2015 Rnd 2 Pick 6,United StatesU.S. Virgin Islands
2019,Erol Can Cinko,G,6-2,180,Royal Hali Gaziantep,Bandirma,"2012 NBA Draft, Undrafted",Turkey
2019,Cameron Clark,G,6-6,211,Bahcesehir Koleji,Phoenix (AZ),"2014 NBA Draft, Undrafted",United States
2019,Gian Clavell,G,6-4,185,Bursaspor,Caguas (PR),"2017 NBA Draft, Undrafted",Puerto RicoUnited States
2019,Dwight Coleby,C,6-9,245,Sigortam.net ITU Bakiroy,New Providence,"2018 NBA Draft, Undrafted",Bahamas
2019,"Bonzie Colson, Jr.",F,6-5,225,Darussafaka Basketbol Istanbul,New Bedford (MA),"2018 NBA Draft, Undrafted",United States
2019,Drew Crawford,GF,6-5,215,Royal Hali Gaziantep,Naperville (IL),"2014 NBA Draft, Undrafted",United States
2019,Jordon Crawford,G,5-6,150,Afyonkarahisar Belediye,Cleveland (OH),"2013 NBA Draft, Undrafted",United States
2019,Tony Crocker,GF,6-7,209,Pinar Karsiyaka,San Antonio (TX),"2010 NBA Draft, Undrafted",United States
2019,Gigi Datome,F,6-8,215,Fenerbahce Beko,Montebelluna,"2009 NBA Draft, Undrafted",Italy
2019,Corey Davis,G,6-1,190,Afyonkarahisar Belediye,Ruston (LA),"2019 NBA Draft, Undrafted",United States
2019,Nando De Colo,G,6-5,195,Fenerbahce Beko,Sainte-Catherine-les-Arras,2009 Rnd 2 Pick 23,France
2019,Sam Dekker,F,6-9,230,Turk Telekom,Sheboygan (WI),2015 Rnd 1 Pick 18,United States
2019,Berk Demir,F,6-9,220,Darussafaka Basketbol Istanbul,Istanbul,"2017 NBA Draft, Undrafted",Turkey
2019,Batuhan Dikmen,F,6-3,-,Royal Hali Gaziantep,N/A,"2019 NBA Draft, Undrafted",Turkey
2019,Tunahan Dikmen,FC,6-9,240,Ormanspor Genc Ankara,Altindag,"2016 NBA Draft, Undrafted",Turkey
2019,Kevin Dillard,G,6-0,182,Demir Insaat Buyukcekmece,Homewood (IL),"2013 NBA Draft, Undrafted",United States
2019,Nemanja Djurisic,F,6-8,230,Besiktas Icrypex,Podgorica,"2015 NBA Draft, Undrafted",Montenegro
