Year,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
2020,Adin Vrabac,F,6-8,195,Krka Novo Mesto,Sarajevo,"2015 NBA Draft, Undrafted",Bosnia and Herzegovina
2020,Antonio Vrankovic,C,7-0,269,KK Split,Minneapolis (MN),"2019 NBA Draft, Undrafted",United StatesCroatia
2020,Vasilije Vucetic,C,6-10,235,Krka Novo Mesto,Vrbas,"2018 NBA Draft, Undrafted",Serbia
2020,Milutin Vujicic,G,6-4,-,KK Crvena Zvezda,Podgorica,2024 NBA Draft Eligible,MontenegroSerbia
2020,Vito Vujovic,G,6-7,200,KK Cibona,Zagreb,2026 NBA Draft Eligible,Croatia
2020,Eyassu Worku,G,6-2,175,KK Zadar,Los Alamitos (CA),"2020 NBA Draft, Undrafted",United StatesEthiopia
2020,Balsa Zivanovic,G,6-3,-,KK Mornar,N/A,"2023 NBA Draft, Undrafted",Montenegro
2021,Zach Auguste,F,6-10,239,KK Cedevita Olimpija Ljubljana,Marlborough (MA),"2016 NBA Draft, Undrafted",United States
2021,Aleksa Avramovic,G,6-3,190,KK Partizan,Cacak,"2016 NBA Draft, Undrafted",Serbia
2021,Vasilije Bacovic,C,6-9,220,Studentski Centar Podgorica,Niksic,"2018 NBA Draft, Undrafted",Montenegro
2021,Olek Balcerowski,C,7-1,230,KK Mega Bemax,Swidnica,"2022 NBA Draft, Undrafted",Poland
2021,Filip Barovic,F,6-9,251,Buducnost,Niksic,"2012 NBA Draft, Undrafted",Montenegro
2021,Ante Beljan,F,6-8,220,KK Zadar,Trogir,2026 NBA Draft Eligible,Croatia
2021,Srdan Boskovic,G,6-4,196,BC Igokea,Aleksandrovac,2024 NBA Draft Eligible,Bosnia and Herzegovina
2021,Tomislav Mihael Buljan,F,6-9,-,KK Zadar,N/A,2024 NBA Draft Eligible,Croatia
2021,Eray Buyukcangaz,F,6-7,-,Studentski Centar Podgorica,N/A,2026 NBA Draft Eligible,Turkey
2021,Dorde Curcic,F,6-4,-,KK Borac Cacak,N/A,2028 NBA Draft Eligible,Serbia
2021,Hayden Dalton,F,6-8,195,KK Cedevita Olimpija Ljubljana,Parker (CO),"2018 NBA Draft, Undrafted",United States
2021,Corey Davis,G,6-1,190,KK Mornar,Ruston (LA),"2019 NBA Draft, Undrafted",United States
2021,Amsal Delalic,F,6-8,-,BC Igokea,Tuzla,2025 NBA Draft Eligible,Bosnia and Herzegovina
2021,Luka Djurovic,G,6-3,176,Studentski Centar Podgorica,Niksic,"2017 NBA Draft, Undrafted",Montenegro
2021,Zoran Dragic,G,6-5,200,KK Cedevita Olimpija Ljubljana,Ljubljana,"2011 NBA Draft, Undrafted",Slovenia
2021,Vidan Dronjak,F,6-6,185,KK Partizan,Belgrade,2026 NBA Draft Eligible,Serbia
2021,Justin Edwards,G,6-4,200,Studentski Centar Podgorica,Whitby,"2016 NBA Draft, Undrafted",Canada
2021,Yogi Ferrell,G,6-0,180,KK Cedevita Olimpija Ljubljana,Greenfield (IN),"2016 NBA Draft, Undrafted",United States
2021,Hasahn French,F,6-7,240,Krka Novo Mesto,Middletown (NY),"2021 NBA Draft, Undrafted",United States
2021,Amar Gegic,G,6-7,181,KK Cibona,Stuttgart,"2020 NBA Draft, Undrafted",GermanyBosnia and Herzegovina
