Year_x,Position,#,Player,Team_x,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,League,Year_y,Pos,HT,WT,Team_y,Birth City,Draft Status,Nationality
2020,G,8,Karolis Giedraitis,LIE,19,9.5,24.625,9.125,17.125,0.67125,4.125,8.75,0.595,2.125,4.125,0.625,1.25,3.375,4.625,3.75,2.125,0.375,6.25,9.625,Lithuanian LKL,2019,G,6-3,164,Lietuvos Rytas,Vilnius,"2020 NBA Draft, Undrafted",Lithuania
2021,G,12,Karolis Giedraitis,PZV,32,24.75,24.0,7.5,17.75,0.5275,3.375,8.625,0.48125,5.75,7.125,1.0,2.375,1.875,4.25,6.75,2.75,0.25,4.25,8.25,Lithuanian LKL,2019,G,6-3,164,Lietuvos Rytas,Vilnius,"2020 NBA Draft, Undrafted",Lithuania
2022,G,21,Karolis Giedraitis,TEC,32,16.25,21.125,6.875,16.375,0.52625,2.5,8.625,0.3537499999999999,4.875,6.375,0.96625,1.0,1.625,2.625,5.625,1.75,0.375,4.125,9.25,Lithuanian LKL,2019,G,6-3,164,Lietuvos Rytas,Vilnius,"2020 NBA Draft, Undrafted",Lithuania
2023,G,12,Karolis Giedraitis,PRI,31,30.375,23.125,7.25,18.75,0.48375,3.125,9.625,0.41375,5.375,7.5,0.90375,1.625,2.25,3.875,4.0,1.75,0.375,3.875,7.0,Lithuanian LKL,2019,G,6-3,164,Lietuvos Rytas,Vilnius,"2020 NBA Draft, Undrafted",Lithuania
2024,G,20,Karolis Giedraitis,SIA,10,18.125,21.875,7.5,15.75,0.5925,2.5,7.875,0.395,4.5,5.375,1.0575,1.625,3.75,5.375,5.375,2.125,0.0,2.875,6.25,Lithuanian LKL,2019,G,6-3,164,Lietuvos Rytas,Vilnius,"2020 NBA Draft, Undrafted",Lithuania
2020,G,9,Keron DeShields,SIA,19,24.875,22.25,8.875,24.75,0.44875,1.375,6.0,0.29625,3.0,4.125,0.91375,1.0,4.875,5.875,8.875,2.375,0.0,6.375,7.25,Lithuanian LKL,2019,G,6-2,195,Siauliai,Baltimore (MD),"2016 NBA Draft, Undrafted",United States
2020,G,10,Lukas Lekavicius,ZAL,24,21.875,22.0,8.125,20.625,0.49125,2.375,8.5,0.3537499999999999,3.25,3.625,1.15,0.875,3.375,4.25,13.0,2.125,0.0,5.5,5.5,Lithuanian LKL,2019,G,6-0,167,Zalgiris,Silale,"2016 NBA Draft, Undrafted",Lithuania
2021,G,3,Lukas Lekavicius,ZAL,41,22.25,34.0,12.875,23.875,0.675,3.625,8.0,0.5675,4.625,5.375,1.0775,1.0,2.75,3.75,10.625,1.75,0.125,4.375,5.25,Lithuanian LKL,2019,G,6-0,167,Zalgiris,Silale,"2016 NBA Draft, Undrafted",Lithuania
2022,G,5,Lukas Lekavicius,ZAL,37,26.625,29.375,10.0,20.375,0.61375,3.875,8.625,0.56375,5.5,6.5,1.06125,0.875,3.0,3.875,12.625,2.875,0.0,4.75,5.625,Lithuanian LKL,2019,G,6-0,167,Zalgiris,Silale,"2016 NBA Draft, Undrafted",Lithuania
2023,G,14,Lukas Lekavicius,ZAL,40,20.625,26.875,9.625,18.625,0.64,3.875,8.75,0.5475,3.875,4.5,1.0975,1.375,4.0,5.375,9.5,1.875,0.125,4.25,6.5,Lithuanian LKL,2019,G,6-0,167,Zalgiris,Silale,"2016 NBA Draft, Undrafted",Lithuania
