"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2021,F,45,Stevan Jovanovic,RADN,19.0,7.375,2.75,1.125,1.75,0.7875,0.125,0.125,1.25,0.375,0.75,0.52125,1.125,1.375,2.5,0.125,0.25,0.125,1.0,1.875,2011,F,"6-6",-,KK Vrsac Swisslion,"","2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2022,F,38,Stevan Jovanovic,ZDRA,27.0,18.25,5.625,2.375,4.125,0.70875,0.0,0.375,0.0,0.875,1.875,0.59375,2.125,2.875,5.0,0.5,0.25,0.125,1.625,3.375,2011,F,"6-6",-,KK Vrsac Swisslion,"","2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,G,21,Stevan Jovanovic,ZDRA,30.0,29.375,11.25,4.625,7.5,0.76375,0.125,1.0,0.15625,2.0,4.25,0.58875,3.25,4.75,8.125,1.25,1.0,0.125,1.625,3.875,2011,F,"6-6",-,KK Vrsac Swisslion,"","2023 NBA Draft, Undrafted",Serbia,Serbian KLS
2021,F,47,Bogdan Savic,SLO,11.0,5.0,1.25,0.5,0.75,0.71375,0.0,0.25,0.0,0.375,0.5,0.9375,0.125,0.625,0.625,0.25,0.125,0.0,0.5,1.0,2011,FC,"6-8",-,KK Sloga,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2023,F,38,Bogdan Savic,SLO,23.0,14.875,5.375,1.625,3.25,0.615,0.25,1.25,0.27125,2.0,2.375,1.05125,0.875,2.125,3.0,0.875,0.25,0.0,0.625,2.375,2011,FC,"6-8",-,KK Sloga,"","2024 NBA Draft Eligible",Serbia,Serbian KLS
2021,C,7,Slaven Cupkovic,SLO,26.0,40.25,19.625,6.375,13.5,0.59,3.25,8.25,0.4875,3.625,4.625,0.99,1.0,5.25,6.25,3.375,0.75,0.0,3.125,3.5,2011,F,"6-9","231",KK Tamis,Mostar,"2010 NBA Draft, Undrafted",Bosnia and HerzegovinaSerbia,Serbian KLS
2021,C,8,Mladen Pantic,PIRO,25.0,31.0,18.125,7.125,11.625,0.76125,0.0,0.25,0.25,3.875,5.25,0.925,1.875,5.0,6.875,2.625,0.5,0.5,3.375,4.0,2011,C,"6-11","265",KK Cacak 94,Belgrade,"2004 NBA Draft, Undrafted",Serbia,Serbian KLS
2023,C,10,Mladen Pantic,C94,28.0,32.0,15.125,6.0,10.125,0.74375,0.0,0.125,0.41625,3.0,4.75,0.7975,1.875,5.5,7.375,1.625,0.625,0.125,2.375,3.0,2011,C,"6-11","265",KK Cacak 94,Belgrade,"2004 NBA Draft, Undrafted",Serbia,Serbian KLS
2021,C,23,Mihalo Musikic,BEO,17.0,24.75,10.5,3.875,8.375,0.57,1.0,2.375,0.4925,1.875,3.375,0.70625,1.875,3.875,5.75,1.75,0.5,0.25,2.625,2.125,2011,C,"7-0","220",KK Sloboda Uzice,Kraljevo,"2024 NBA Draft Eligible",Serbia,Serbian KLS
2022,C,7,Mihalo Musikic,BEO,22.0,41.125,18.125,6.875,12.875,0.67125,1.125,3.5,0.3825,3.125,5.25,0.7475,2.75,5.625,8.375,3.25,0.875,1.375,1.75,2.625,2011,C,"7-0","220",KK Sloboda Uzice,Kraljevo,"2024 NBA Draft Eligible",Serbia,Serbian KLS
