"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2022,G,3,Miha Vasl,POL,26.0,46.5,34.375,11.0,24.75,0.555,4.5,12.875,0.4325,7.875,9.5,1.045,1.625,7.375,9.0,10.375,2.875,0.0,6.625,3.75,2019,SG,"6-3","174",Hopsi Polzela,Celje,"2014 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,8,Miha Lapornik,OLI,27.0,33.125,22.5,7.375,18.75,0.49125,3.125,10.25,0.37875,4.75,6.0,0.9725,1.5,4.25,5.75,4.625,1.125,0.0,2.625,5.5,2021,SG,"6-4","203",Krka Novo Mesto,Celje,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2022,G,2,Miha Lapornik,KRK,15.0,31.0,33.25,11.125,24.375,0.57125,6.25,13.125,0.60125,4.625,6.0,0.98,0.5,5.375,5.75,2.875,2.125,0.375,2.75,5.125,2021,SG,"6-4","203",Krka Novo Mesto,Celje,"2015 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,10,Luka Voncina,SIX,34.0,25.375,18.75,5.625,13.5,0.52375,3.375,7.875,0.53625,4.125,4.75,1.0875,1.875,5.625,7.375,5.25,2.75,0.25,2.125,6.0,2019,G,"6-4","195",Sixt Primorska,Ljubljana,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,20,Luka Voncina,SIX,12.0,27.625,15.375,5.375,14.0,0.48375,3.625,9.75,0.465,0.875,1.625,0.71375,1.75,3.625,5.375,5.625,2.875,0.25,2.5,5.0,2019,G,"6-4","195",Sixt Primorska,Ljubljana,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2022,F,11,Luka Voncina,ILI,28.0,33.75,21.625,7.25,18.25,0.495,3.75,11.25,0.4225,3.375,4.0,1.05375,0.875,3.625,4.5,7.25,3.25,0.125,4.875,4.0,2019,G,"6-4","195",Sixt Primorska,Ljubljana,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2023,G,21,Luka Voncina,ILI,27.0,26.375,17.75,5.125,16.375,0.395,2.625,9.625,0.34375,4.75,5.375,1.1025,1.5,5.0,6.5,7.75,2.625,0.125,6.375,6.0,2019,G,"6-4","195",Sixt Primorska,Ljubljana,"2013 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,11,Rene Grdadolnik,ZLA,29.0,19.25,18.5,6.625,16.75,0.49,2.25,8.125,0.35375,3.125,5.0,0.7775,1.75,7.5,9.25,1.625,1.5,0.625,3.25,11.25,2019,GF,"6-4","194",Zlatorog,Maribor,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2020,G,19,Rene Grdadolnik,ZLA,15.0,17.875,15.75,5.875,15.125,0.48625,2.0,7.0,0.35,2.0,4.5,0.5475,2.5,5.625,8.125,2.0,1.375,0.875,5.875,9.75,2019,GF,"6-4","194",Zlatorog,Maribor,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
2019,G,13,Ziga Jurcek,SEN,27.0,29.125,16.5,5.875,15.25,0.47625,2.625,7.875,0.40625,2.25,2.875,1.0,1.25,5.75,7.0,3.5,1.375,0.25,4.0,7.125,2019,F,"6-4","192",Sencur Gorenjska Gradbena Druzba Kranj,Ljubljana,"2020 NBA Draft, Undrafted",Slovenia,Slovenian SKL
