"Year_x","Position","#","Player","Team_x","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_y","Pos","HT","WT","Team_y","Birth City","Draft Status","Nationality","League"
2023,G,6,Jorden Duffy,TEC,19,24.21875,34.21875,12.96875,23.4375,0.865625,5.15625,10.46875,0.7625,3.125,3.59375,1.3390625,2.5,5.9375,8.4375,11.5625,4.84375,0.3125,5.15625,10.46875,2022,G,"6-1",170,Lietkabelis,Upper Marlboro (MD),"2019 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,G,8,Adas Juskevicius,WOLV,33,37.34375,33.75,10.9375,25.46875,0.6734375,7.5,19.375,0.6046875,4.21875,5.625,1.1921875,1.40625,4.21875,5.46875,8.75,2.8125,0.3125,4.6875,8.4375,2022,G,"6-4",198,BC Wolves,Kaunas,"2011 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,G,18,Adas Juskevicius,WOLV,14,21.71875,28.90625,9.21875,25.78125,0.559375,5.46875,17.34375,0.4859375,5.0,5.78125,1.3546875,0.3125,4.6875,5.0,10.0,1.875,0.3125,5.46875,9.21875,2022,G,"6-4",198,BC Wolves,Kaunas,"2011 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,G,11,Mantas Rubstavicius,TEC,40,27.65625,29.375,8.59375,18.59375,0.71875,2.8125,8.90625,0.5015625,9.375,11.71875,1.2390625,1.71875,5.9375,7.65625,4.6875,1.875,0.46875,3.90625,12.03125,2020,G,"6-6",184,Zalgiris,Panevezys,"2024 NBA Draft Eligible",Lithuania,Lithuanian LKL
2023,G,23,Lukas Kreismontas,JJ,17,16.09375,17.65625,5.625,15.9375,0.5484375,2.1875,10.3125,0.325,4.375,6.875,0.9765625,4.375,5.15625,9.53125,0.9375,1.25,0.9375,1.71875,6.40625,2020,G,"6-6",204,Neptunas,Klaipeda,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,G,26,Lukas Kreismontas,JJ,24,40.46875,21.40625,7.1875,14.6875,0.75625,2.1875,7.1875,0.4765625,5.0,6.71875,1.14375,4.6875,5.46875,10.15625,3.59375,1.875,0.46875,2.5,5.0,2020,G,"6-6",204,Neptunas,Klaipeda,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,G,24,Adas Simonis,LIE,12,17.03125,17.1875,4.53125,11.5625,0.625,2.34375,9.21875,0.390625,5.78125,7.5,1.2015625,0.625,6.875,7.5,2.8125,1.09375,0.0,1.09375,10.9375,2020,G,"6-4",180,Lietuvos Rytas,Vilnius,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2024,G,29,Adas Simonis,PZV,19,16.875,16.40625,5.46875,14.21875,0.6015625,4.6875,11.71875,0.634375,0.78125,0.78125,1.5625,0.0,6.5625,6.5625,2.1875,1.875,0.0,4.0625,10.9375,2020,G,"6-4",180,Lietuvos Rytas,Vilnius,"2023 NBA Draft, Undrafted",Lithuania,Lithuanian LKL
2023,F,3,Alex Hamilton,JUV,21,42.8125,36.40625,13.4375,27.65625,0.759375,5.0,10.3125,0.7515625,4.53125,6.71875,1.0515625,1.25,8.28125,9.53125,11.5625,6.875,1.25,5.78125,5.15625,2022,G,"6-4",195,Juventus,Chipley (FL),"2016 NBA Draft, Undrafted",United States,Lithuanian LKL
2023,F,4,Ignas Brazdeikis,ZAL,40,27.65625,36.40625,13.28125,30.78125,0.6765625,4.0625,13.90625,0.453125,5.78125,7.03125,1.259375,2.96875,9.375,12.34375,6.875,2.1875,0.625,4.0625,7.8125,2022,F,"6-7",221,Zalgiris,Kaunas,"2019 Rnd 2 Pick 17",LithuaniaCanada,Lithuanian LKL
