"Year","Position","#","Player","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","Year_x","Position_x","#_x","Team_x","GP_x","MPG_x","PPG_x","FGM_x","FGA_x","FG%_x","3PM_x","3PA_x","3P%_x","FTM_x","FTA_x","FT%_x","ORB_x","DRB_x","RPG_x","APG_x","SPG_x","BPG_x","TOV_x","PF_x","Year_y","Position_y","#_y","Team_y","GP_y","MPG_y","PPG_y","FGM_y","FGA_y","FG%_y","3PM_y","3PA_y","3P%_y","FTM_y","FTA_y","FT%_y","ORB_y","DRB_y","RPG_y","APG_y","SPG_y","BPG_y","TOV_y","PF_y","League"
2012,G,1,Domagoj Basic,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2012,G,1,ZAB,31,21.1,24.6,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.933,0.3,2.1,2.4,2.3,1.5,0.1,2.9,3.5,2022,SG,14,SIB,32,18.5,18.9,7.1,15.4,0.466,4.1,10.0,0.407,0.6,0.8,0.7,1.0,1.9,2.8,1.8,0.6,0.0,1.3,4.2,Greek Basketball League
2012,G,2,Roko Rogic,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,2012,G,2,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,2012,PG,2,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,Greek Basketball League
2012,G,2,Roko Rogic,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,2012,G,2,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,2015,PG,1,VEL,27,25.4,24.2,8.1,17.6,0.462,1.9,6.0,0.314,6.1,7.6,0.798,2.4,6.8,9.2,8.2,2.8,0.0,4.8,4.9,Greek Basketball League
2012,G,2,Roko Rogic,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,2012,G,2,ALK,30,24.2,23.3,8.0,18.1,0.442,1.8,6.5,0.276,5.5,6.7,0.824,1.4,5.0,6.3,4.1,1.8,0.0,4.2,4.3,2016,SG,1,SRKL,29,30.2,24.2,8.5,17.0,0.5,1.6,5.8,0.274,5.6,6.6,0.85,1.6,5.7,7.3,7.3,2.3,0.1,3.9,4.4,Greek Basketball League
2012,G,3,Franjo Bubalo,ALK,27,29.1,21.4,7.7,16.9,0.457,1.6,5.0,0.317,4.4,5.7,0.766,1.0,2.4,3.4,4.9,1.7,0.1,3.7,3.4,2012,G,3,ALK,27,29.1,21.4,7.7,16.9,0.457,1.6,5.0,0.317,4.4,5.7,0.766,1.0,2.4,3.4,4.9,1.7,0.1,3.7,3.4,2012,PG,3,ALK,27,29.1,21.4,7.7,16.9,0.457,1.6,5.0,0.317,4.4,5.7,0.766,1.0,2.4,3.4,4.9,1.7,0.1,3.7,3.4,Greek Basketball League
2012,G,4,Mario Pesut,PUN,30,23.6,19.6,7.1,17.0,0.42,1.0,5.3,0.179,4.4,7.1,0.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0,2012,G,4,PUN,30,23.6,19.6,7.1,17.0,0.42,1.0,5.3,0.179,4.4,7.1,0.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0,2012,PG,4,PUN,30,23.6,19.6,7.1,17.0,0.42,1.0,5.3,0.179,4.4,7.1,0.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0,Greek Basketball League
2012,G,4,Mario Pesut,PUN,30,23.6,19.6,7.1,17.0,0.42,1.0,5.3,0.179,4.4,7.1,0.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0,2012,G,4,PUN,30,23.6,19.6,7.1,17.0,0.42,1.0,5.3,0.179,4.4,7.1,0.625,2.6,2.5,5.1,5.2,2.9,0.1,4.1,5.0,2013,PG,10,ZAB,23,22.8,13.3,5.2,10.9,0.479,0.8,2.7,0.31,2.1,3.4,0.622,0.9,2.5,3.4,6.8,2.6,0.0,3.5,5.6,Greek Basketball League
2012,G,5,Mislav Peric,DUB,30,25.7,19.6,6.9,15.3,0.453,2.4,6.9,0.351,3.3,4.7,0.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7,2012,G,5,DUB,30,25.7,19.6,6.9,15.3,0.453,2.4,6.9,0.351,3.3,4.7,0.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7,2012,PG,5,DUB,30,25.7,19.6,6.9,15.3,0.453,2.4,6.9,0.351,3.3,4.7,0.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7,Greek Basketball League
2012,G,5,Mislav Peric,DUB,30,25.7,19.6,6.9,15.3,0.453,2.4,6.9,0.351,3.3,4.7,0.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7,2012,G,5,DUB,30,25.7,19.6,6.9,15.3,0.453,2.4,6.9,0.351,3.3,4.7,0.707,0.4,3.1,3.5,2.5,2.1,0.0,5.0,6.7,2013,SG,1,DUB,24,28.5,23.2,7.7,18.5,0.417,2.8,9.3,0.301,4.9,6.2,0.787,1.3,2.9,4.2,2.2,2.2,0.0,4.2,5.6,Greek Basketball League
2012,G,6,Dontaye Draper,CED,19,29.4,19.5,6.4,13.6,0.468,2.0,5.9,0.333,4.8,6.8,0.709,0.9,3.5,4.5,4.8,4.1,0.3,3.3,4.2,2012,G,6,CED,19,29.4,19.5,6.4,13.6,0.468,2.0,5.9,0.333,4.8,6.8,0.709,0.9,3.5,4.5,4.8,4.1,0.3,3.3,4.2,2012,PG,6,CED,19,29.4,19.5,6.4,13.6,0.468,2.0,5.9,0.333,4.8,6.8,0.709,0.9,3.5,4.5,4.8,4.1,0.3,3.3,4.2,Greek Basketball League
