Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality,Season
Benjamin Woog,C,6-7,227,Leicester Riders,Haverfordwest,2025 NBA Draft Eligible,Wales,2013-2014
Seth Wylie,-,-,-,Leicester Riders,N/A,"2023 NBA Draft, Undrafted",-,2013-2014
Charles Yassi-Pepin,F,6-7,-,Plymouth City Patriots,N/A,"2019 NBA Draft, Undrafted",England,2013-2014
Jubril Adekoya,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States,2014-2015
Fahro Alihodzic,FC,6-10,240,Caledonia Gladiators,Vlasenica,"2014 NBA Draft, Undrafted",Bosnia and HerzegovinaEngland,2014-2015
Teddy Allen,SF,6-6,212,Leicester Riders,Phoenix (AZ),"2022 NBA Draft, Undrafted",United States,2014-2015
Terrell Allen,PG,6-3,180,Sheffield Sharks,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2014-2015
Jamell Anderson,F,6-7,214,Manchester Giants,Nottingham,"2012 NBA Draft, Undrafted",England,2014-2015
Caleb Asberry,G,6-3,165,Leicester Riders,Pflugerville (TX),"2023 NBA Draft, Undrafted",United States,2014-2015
T.J. Atwood,SG,6-6,203,Plymouth City Patriots,Beaumont (TX),"2020 NBA Draft, Undrafted",United States,2014-2015
Larry Austin,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States,2014-2015
Elliot Bailey,F,6-6,198,Surrey Scorchers,Horsham,"2021 NBA Draft, Undrafted",England,2014-2015
Oscar Baldwin,F,6-10,200,Caledonia Gladiators,Grindleford,"2021 NBA Draft, Undrafted",England,2014-2015
Tyrell Bellot-Green,SG,6-7,215,Plymouth City Patriots,Toronto,"2017 NBA Draft, Undrafted",Canada,2014-2015
Mike Bothwell,G,6-3,195,Caledonia Gladiators,Willoughby (OH),"2023 NBA Draft, Undrafted",United States,2014-2015
Mason Bourcier,G,6-4,200,Manchester Giants,Kelowna,"2021 NBA Draft, Undrafted",Canada,2014-2015
Blake Bowman,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England,2014-2015
Levi Bradley,SF,6-7,210,Bristol Flyers,Milwaukee (WI),"2019 NBA Draft, Undrafted",United States,2014-2015
Braelen Bridges,F,6-11,240,Leicester Riders,McDonough (GA),"2023 NBA Draft, Undrafted",United States,2014-2015
Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland,2014-2015
Trent Buttrick,F,6-8,240,Caledonia Gladiators,Bloomsburg (PA),"2022 NBA Draft, Undrafted",United States,2014-2015
Ethan Chargois,PF,6-9,231,Cheshire Phoenix,Tulsa (OK),"2022 NBA Draft, Undrafted",United States,2014-2015
Nedas Cholevinskas,F,6-4,202,Surrey Scorchers,N/A,2027 NBA Draft Eligible,EnglandLithuania,2014-2015
Cam Christon,G,6-6,190,Cheshire Phoenix,Allen (TX),"2023 NBA Draft, Undrafted",United States,2014-2015
Max Cooper,F,6-6,231,Bristol Flyers,Minnetonka (MN),"2020 NBA Draft, Undrafted",United States,2014-2015
Quin Cooper,F,6-5,185,Surrey Scorchers,Covington (LA),"2015 NBA Draft, Undrafted",United States,2014-2015
Cameron Copeland,F,6-7,185,Plymouth City Patriots,Douglasville (GA),"2023 NBA Draft, Undrafted",United States,2014-2015
Christian Cunningham,F,6-7,215,Bristol Flyers,Albuquerque (NM),"2019 NBA Draft, Undrafted",United States,2014-2015
Jules Dang Akodo,PG,6-2,190,Plymouth City Patriots,Yaounde,"2018 NBA Draft, Undrafted",CameroonEngland,2014-2015
Darrius Defoe,PF,6-9,220,Newcastle Eagles,London,"2006 NBA Draft, Undrafted",DominicaEngland,2014-2015
Sam Dekker,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States,2014-2015
Malcolm Delpeche,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2014-2015
Marcus Delpeche,F,6-7,215,Sheffield Sharks,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2014-2015
Lachlan Timothy Dent,PG,6-0,174,London Lions,Campbelltown,"2022 NBA Draft, Undrafted",Australia,2014-2015
Joshua Djanogly,C,6-8,215,London Lions,London,"2022 NBA Draft, Undrafted",England,2014-2015
Ian DuBose,G,6-4,210,Caledonia Gladiators,Durham (NC),"2021 NBA Draft, Undrafted",United States,2014-2015
Elvisi Dusha,G,6-2,184,Plymouth City Patriots,London,"2016 NBA Draft, Undrafted",EnglandAlbania,2014-2015
R.J. Eytle-Rock,GF,6-4,225,Sheffield Sharks,London,"2023 NBA Draft, Undrafted",England,2014-2015
Mason Faulkner,SG,6-1,190,Plymouth City Patriots,Glasgow (KY),"2022 NBA Draft, Undrafted",United States,2014-2015
Rodney Glasgow,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States,2014-2015
Cam Gooden,G,5-11,175,Surrey Scorchers,Frisco (TX),"2023 NBA Draft, Undrafted",United States,2014-2015
Mathew Goodwin,G,6-2,-,Manchester Giants,N/A,2027 NBA Draft Eligible,England,2014-2015
Rowell Graham,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England,2014-2015
Donte Grantham,PF,6-8,215,London Lions,Martinsburg (WV),"2018 NBA Draft, Undrafted",United States,2014-2015
Malek Green,F,6-7,220,Sheffield Sharks,Cincinnati (OH),"2023 NBA Draft, Undrafted",United States,2014-2015
Quade Green,PG,6-0,170,Caledonia Gladiators,Philadelphia (PA),"2021 NBA Draft, Undrafted",United States,2014-2015
Tajh Green,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States,2014-2015
Brad Greene,C,6-11,270,Bristol Flyers,Lone Pine (CA),"2022 NBA Draft, Undrafted",United States,2014-2015
Rokas Gustys,C,6-9,279,London Lions,Kaunas,"2018 NBA Draft, Undrafted",Lithuania,2014-2015
Jalen Harris,PG,6-1,180,Manchester Giants,Los Angeles (CA),"2023 NBA Draft, Undrafted",United States,2014-2015
Joseph Hart,SF,6-5,205,Plymouth City Patriots,Southend-on-Sea,"2015 NBA Draft, Undrafted",England,2014-2015
Cam Holden,G,6-5,200,Cheshire Phoenix,Forsyth (GA),"2023 NBA Draft, Undrafted",United States,2014-2015
Jaren Holmes,G,6-4,207,Leicester Riders,Romulus (MI),"2023 NBA Draft, Undrafted",United States,2014-2015
Jack Hudson,PG,6-2,194,Cheshire Phoenix,Liverpool,"2015 NBA Draft, Undrafted",England,2014-2015
Jordan Hunt,C,6-9,230,Surrey Scorchers,Lower Hutt,"2020 NBA Draft, Undrafted",New Zealand,2014-2015
Samuel Idowu,SF,6-7,240,Leicester Riders,Brooklyn (NY),"2019 NBA Draft, Undrafted",United StatesEngland,2014-2015
Maceo Jack,G,6-5,190,Cheshire Phoenix,Buffalo (NY),"2022 NBA Draft, Undrafted",United States,2014-2015
C.J. Jackson,PG,6-1,175,Bristol Flyers,Charlotte (NC),"2019 NBA Draft, Undrafted",United States,2014-2015
Trejon Jacob,G,6-5,175,Bristol Flyers,Raleigh (NC),"2020 NBA Draft, Undrafted",United States,2014-2015
Saiquan Jamison,F,6-8,230,Surrey Scorchers,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2014-2015
Kyle Jimenez,SF,6-2,200,Caledonia Gladiators,Edinburgh,"2020 NBA Draft, Undrafted",Scotland,2014-2015
D'Andre Johnson,C,6-10,210,Plymouth City Patriots,Washington (DC),"2023 NBA Draft, Undrafted",United States,2014-2015
Jordan Johnson,PG,5-11,175,Newcastle Eagles,Waukegan (IL),"2018 NBA Draft, Undrafted",United States,2014-2015
Kedrian Johnson,G,6-3,185,Bristol Flyers,Dallas (TX),"2023 NBA Draft, Undrafted",United States,2014-2015
Kyle Johnson,G,6-4,210,Caledonia Gladiators,Ajax,"2011 NBA Draft, Undrafted",CanadaEngland,2014-2015
Taylor Johnson,G,6-4,180,Plymouth City Patriots,Aledo (TX),"2018 NBA Draft, Undrafted",United States,2014-2015
Callum Jones,SG,6-4,200,Manchester Giants,Manchester,"2010 NBA Draft, Undrafted",England,2014-2015
Mihailo Jovicic,PG,6-2,194,Caledonia Gladiators,Kragujevac,"2021 NBA Draft, Undrafted",Serbia,2014-2015
Bradley Kaboza,F,6-2,194,London Lions,London,"2023 NBA Draft, Undrafted",England,2014-2015
Sauver Kande,F,6-4,185,Newcastle Eagles,London,2024 NBA Draft Eligible,England,2014-2015
Bennett Koch,F,6-10,235,Sheffield Sharks,Ashwaubenon (WI),"2018 NBA Draft, Undrafted",United States,2014-2015
T.J. Lall,F,6-6,202,Leicester Riders,Cambridge,"2018 NBA Draft, Undrafted",Canada,2014-2015
Pasquale Landolfi,F,6-4,194,Bristol Flyers,Dorchester,"2023 NBA Draft, Undrafted",England,2014-2015
Andrew Lawrence,PG,6-1,192,Surrey Scorchers,London,"2013 NBA Draft, Undrafted",England,2014-2015
Austin Lawton,F,6-8,205,Manchester Giants,Eutawville (SC),"2019 NBA Draft, Undrafted",United States,2014-2015
William Lee,F,6-9,206,Manchester Giants,Plantersville (AL),"2018 NBA Draft, Undrafted",United States,2014-2015
Spencer Levi,F,6-8,220,Plymouth City Patriots,St. Louis (MO),"2022 NBA Draft, Undrafted",United States,2014-2015
Nicholas Lewis,PG,6-3,185,Manchester Giants,Scarborough,"2015 NBA Draft, Undrafted",CanadaEngland,2014-2015
Brincey Lomeka,SF,6-5,220,Plymouth City Patriots,N/A,"2023 NBA Draft, Undrafted",England,2014-2015
Te'Jon Lucas,G,6-1,187,Bristol Flyers,Milwaukee (WI),"2022 NBA Draft, Undrafted",United States,2014-2015
Kimbal Mackenzie,PG,6-1,195,Leicester Riders,Oakville,"2019 NBA Draft, Undrafted",CanadaEngland,2014-2015
Fraser Malcolm,PF,6-6,215,Caledonia Gladiators,Falkirk,"2019 NBA Draft, Undrafted",Scotland,2014-2015
Sam Mamuini,G,6-0,198,Newcastle Eagles,Newcastle,2024 NBA Draft Eligible,England,2014-2015
Rickey McGill,PG,6-1,175,Newcastle Eagles,Spring Valley (NY),"2019 NBA Draft, Undrafted",United States,2014-2015
Darius McNeill,G,6-3,185,Manchester Giants,Houston (TX),"2023 NBA Draft, Undrafted",United States,2014-2015
Abdul Mohamed,F,6-7,190,Surrey Scorchers,Ottawa,"2020 NBA Draft, Undrafted",Canada,2014-2015
Nathaniel Montgomery,G,5-10,154,Sheffield Sharks,Sheffield,"2021 NBA Draft, Undrafted",England,2014-2015
Clifton Moore,PF,6-10,240,Caledonia Gladiators,Horsham (PA),"2023 NBA Draft, Undrafted",United States,2014-2015
Conor Morgan,FC,6-9,220,London Lions,Victoria,"2016 NBA Draft, Undrafted",Canada,2014-2015
Matt Morgan,G,6-2,174,London Lions,Concord (NC),"2019 NBA Draft, Undrafted",United States,2014-2015
Victor Ndoukou,F,6-8,235,Leicester Riders,Wigan,2025 NBA Draft Eligible,England,2014-2015
Will Neighbour,FC,6-10,225,Newcastle Eagles,Grayshott,"2014 NBA Draft, Undrafted",England,2014-2015
Luke Nelson,G,6-3,190,London Lions,Worthing,"2017 NBA Draft, Undrafted",England,2014-2015
Kipper Nichols,F,6-6,220,Sheffield Sharks,Lakewood (OH),"2020 NBA Draft, Undrafted",United States,2014-2015
Prentiss Nixon,PG,6-2,189,Sheffield Sharks,Bolingbrook (IL),"2020 NBA Draft, Undrafted",United States,2014-2015
Mekhii Noble,PF,6-8,225,Plymouth City Patriots,Jacksonville (FL),"2023 NBA Draft, Undrafted",United States,2014-2015
David Nwaba,G,6-5,219,London Lions,Los Angeles (CA),"2016 NBA Draft, Undrafted",United States,2014-2015
Emeka Obukwelu,F,6-8,235,Surrey Scorchers,Plano (TX),"2022 NBA Draft, Undrafted",United States,2014-2015
Tayo Ogedegebe,F,6-6,210,Surrey Scorchers,London,"2009 NBA Draft, Undrafted",England,2014-2015
Luke Okieseme,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2014-2015
Gabriel Olaseni,C,6-10,225,London Lions,London,"2015 NBA Draft, Undrafted",England,2014-2015
Tevin Olison,G,6-4,200,Bristol Flyers,Memphis (TN),"2022 NBA Draft, Undrafted",United States,2014-2015
Princeton Onwas,GF,6-6,215,Caledonia Gladiators,Katy (TX),"2016 NBA Draft, Undrafted",United States,2014-2015
Lukas Palyza,SF,6-6,198,Caledonia Gladiators,Ostrava,"2011 NBA Draft, Undrafted",Czech Republic,2014-2015
Dijiani Parkinson,-,-,-,Surrey Scorchers,N/A,"2023 NBA Draft, Undrafted",-,2014-2015
Tarik Phillip,G,6-3,185,London Lions,Brooklyn (NY),"2017 NBA Draft, Undrafted",United StatesEngland,2014-2015
Xavier Pinson,PG,6-3,174,Leicester Riders,Chicago (IL),"2023 NBA Draft, Undrafted",United States,2014-2015
Jalon Pipkins,G,6-4,200,Sheffield Sharks,Paris (TX),"2022 NBA Draft, Undrafted",United States,2014-2015
Kareem Queeley,G,6-3,202,London Lions,Saint Kitts,"2023 NBA Draft, Undrafted",Saint Kitts and NevisEngland,2014-2015
Aaryn Rai,GF,6-6,205,Cheshire Phoenix,Markham,"2022 NBA Draft, Undrafted",Canada,2014-2015
Devearl Ramsey,PG,6-0,185,Sheffield Sharks,Chatsworth (CA),"2022 NBA Draft, Undrafted",United States,2014-2015
Jordan Ratinho,PG,6-5,210,Sheffield Sharks,Concord (CA),"2020 NBA Draft, Undrafted",United States,2014-2015
LaQuincy Rideau,PG,6-1,209,Cheshire Phoenix,West Palm Beach (FL),"2020 NBA Draft, Undrafted",United States,2014-2015
Legend Robertin,C,7-1,280,Manchester Giants,London,"2018 NBA Draft, Undrafted",England,2014-2015
Justin Robinson,SG,6-2,190,Surrey Scorchers,London,"2011 NBA Draft, Undrafted",England,2014-2015
Dan Rudd,G,6-1,198,Cheshire Phoenix,N/A,2027 NBA Draft Eligible,England,2014-2015
Sesan Russell,G,6-1,200,Leicester Riders,London,"2023 NBA Draft, Undrafted",England,2014-2015
Corey Samuels,G,6-1,165,Bristol Flyers,Bristol,"2022 NBA Draft, Undrafted",England,2014-2015
Ciaran Sandy,F,6-7,195,Leicester Riders,London,2025 NBA Draft Eligible,England,2014-2015
Josh Sharma,C,7-0,230,London Lions,Lexington (MA),"2019 NBA Draft, Undrafted",United StatesEngland,2014-2015
Duke Shelton,F,6-8,215,Leicester Riders,Ocala (FL),"2018 NBA Draft, Undrafted",United States,2014-2015
Callum Smart,C,6-11,216,Bristol Flyers,Gloucester,2026 NBA Draft Eligible,England,2014-2015
Leslee Smith,F,6-8,254,Bristol Flyers,Tortola,"2015 NBA Draft, Undrafted",British Virgin Islands,2014-2015
Morayo Soluade,PG,6-5,196,London Lions,London,"2017 NBA Draft, Undrafted",England,2014-2015
Scott Spencer,SF,6-6,210,Newcastle Eagles,Saint George (VA),"2022 NBA Draft, Undrafted",United States,2014-2015
Nick Stampley,F,6-6,210,Manchester Giants,Pompano Beach (FL),"2022 NBA Draft, Undrafted",United States,2014-2015
Joshua Steel,G,6-4,180,Surrey Scorchers,Harlow,"2017 NBA Draft, Undrafted",England,2014-2015
E.J. Stephens,G,6-3,175,Cheshire Phoenix,Plantation (FL),"2022 NBA Draft, Undrafted",United States,2014-2015
Parker Stewart,SG,6-5,200,Sheffield Sharks,Union City (TN),"2023 NBA Draft, Undrafted",United States,2014-2015
Cael Sweeney,G,-,-,Caledonia Gladiators,N/A,2024 NBA Draft Eligible,England,2014-2015
Jordan Taylor,G,6-1,195,London Lions,Bloomington (MN),"2012 NBA Draft, Undrafted",United States,2014-2015
Miryne Thomas,F,6-8,215,Leicester Riders,Cleveland (OH),"2023 NBA Draft, Undrafted",United States,2014-2015
Raphell Thomas-Edwards,F,6-6,245,Bristol Flyers,Leicester,"2015 NBA Draft, Undrafted",England,2014-2015
Remy Udeh,-,-,-,London Lions,N/A,"2023 NBA Draft, Undrafted",-,2014-2015
David Ulph,PF,6-7,216,Cheshire Phoenix,Widnes,"2015 NBA Draft, Undrafted",England,2014-2015
Maurice Walker,PF,6-10,255,Leicester Riders,Scarborough,"2015 NBA Draft, Undrafted",Canada,2014-2015
Evan Walshe,GF,6-4,200,Manchester Giants,Tring,"2020 NBA Draft, Undrafted",England,2014-2015
Zach Walton,G,6-6,205,Sheffield Sharks,Morton (WA),"2022 NBA Draft, Undrafted",United States,2014-2015
Padiet Wang,G,6-4,165,Surrey Scorchers,Aurora (CO),"2020 NBA Draft, Undrafted",United StatesSouth Sudan,2014-2015
Josh Ward-Hibbert,F,6-4,190,Newcastle Eagles,Nottingham,"2016 NBA Draft, Undrafted",England,2014-2015
Conner Washington,G,6-1,178,Leicester Riders,Elstow,"2014 NBA Draft, Undrafted",England,2014-2015
Patrick Whelan,SG,6-5,205,Caledonia Gladiators,Warrington,"2018 NBA Draft, Undrafted",England,2014-2015
Skyler White,F,6-7,220,Cheshire Phoenix,Clyde Hill (WA),"2018 NBA Draft, Undrafted",United States,2014-2015
Will White,F,6-3,-,Plymouth City Patriots,N/A,2024 NBA Draft Eligible,England,2014-2015
Devin Whitfield,G,6-5,170,Newcastle Eagles,Lipscomb (AL),"2021 NBA Draft, Undrafted",United States,2014-2015
Greg Wild,G,6-1,190,Cheshire Phoenix,Manchester,2024 NBA Draft Eligible,England,2014-2015
Jacob Wiley,F,6-7,210,Plymouth City Patriots,Houston (TX),"2022 NBA Draft, Undrafted",United States,2014-2015
Benjamin Woog,C,6-7,227,Leicester Riders,Haverfordwest,2025 NBA Draft Eligible,Wales,2014-2015
Seth Wylie,-,-,-,Leicester Riders,N/A,"2023 NBA Draft, Undrafted",-,2014-2015
Charles Yassi-Pepin,F,6-7,-,Plymouth City Patriots,N/A,"2019 NBA Draft, Undrafted",England,2014-2015
Jubril Adekoya,F,6-7,230,Sheffield Sharks,Tinley Park (IL),"2017 NBA Draft, Undrafted",United States,2015-2016
Fahro Alihodzic,FC,6-10,240,Caledonia Gladiators,Vlasenica,"2014 NBA Draft, Undrafted",Bosnia and HerzegovinaEngland,2015-2016
Teddy Allen,SF,6-6,212,Leicester Riders,Phoenix (AZ),"2022 NBA Draft, Undrafted",United States,2015-2016
Terrell Allen,PG,6-3,180,Sheffield Sharks,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2015-2016
Jamell Anderson,F,6-7,214,Manchester Giants,Nottingham,"2012 NBA Draft, Undrafted",England,2015-2016
Caleb Asberry,G,6-3,165,Leicester Riders,Pflugerville (TX),"2023 NBA Draft, Undrafted",United States,2015-2016
T.J. Atwood,SG,6-6,203,Plymouth City Patriots,Beaumont (TX),"2020 NBA Draft, Undrafted",United States,2015-2016
Larry Austin,SG,6-2,182,Newcastle Eagles,Springfield (IL),"2019 NBA Draft, Undrafted",United States,2015-2016
Elliot Bailey,F,6-6,198,Surrey Scorchers,Horsham,"2021 NBA Draft, Undrafted",England,2015-2016
Oscar Baldwin,F,6-10,200,Caledonia Gladiators,Grindleford,"2021 NBA Draft, Undrafted",England,2015-2016
Tyrell Bellot-Green,SG,6-7,215,Plymouth City Patriots,Toronto,"2017 NBA Draft, Undrafted",Canada,2015-2016
Mike Bothwell,G,6-3,195,Caledonia Gladiators,Willoughby (OH),"2023 NBA Draft, Undrafted",United States,2015-2016
Mason Bourcier,G,6-4,200,Manchester Giants,Kelowna,"2021 NBA Draft, Undrafted",Canada,2015-2016
Blake Bowman,F,6-5,194,Leicester Riders,Derby,"2023 NBA Draft, Undrafted",England,2015-2016
Levi Bradley,SF,6-7,210,Bristol Flyers,Milwaukee (WI),"2019 NBA Draft, Undrafted",United States,2015-2016
Braelen Bridges,F,6-11,240,Leicester Riders,McDonough (GA),"2023 NBA Draft, Undrafted",United States,2015-2016
Jonny Bunyan,PG,6-0,180,Caledonia Gladiators,Falkirk,"2014 NBA Draft, Undrafted",Scotland,2015-2016
Trent Buttrick,F,6-8,240,Caledonia Gladiators,Bloomsburg (PA),"2022 NBA Draft, Undrafted",United States,2015-2016
Ethan Chargois,PF,6-9,231,Cheshire Phoenix,Tulsa (OK),"2022 NBA Draft, Undrafted",United States,2015-2016
Nedas Cholevinskas,F,6-4,202,Surrey Scorchers,N/A,2027 NBA Draft Eligible,EnglandLithuania,2015-2016
Cam Christon,G,6-6,190,Cheshire Phoenix,Allen (TX),"2023 NBA Draft, Undrafted",United States,2015-2016
Max Cooper,F,6-6,231,Bristol Flyers,Minnetonka (MN),"2020 NBA Draft, Undrafted",United States,2015-2016
Quin Cooper,F,6-5,185,Surrey Scorchers,Covington (LA),"2015 NBA Draft, Undrafted",United States,2015-2016
Cameron Copeland,F,6-7,185,Plymouth City Patriots,Douglasville (GA),"2023 NBA Draft, Undrafted",United States,2015-2016
Christian Cunningham,F,6-7,215,Bristol Flyers,Albuquerque (NM),"2019 NBA Draft, Undrafted",United States,2015-2016
Jules Dang Akodo,PG,6-2,190,Plymouth City Patriots,Yaounde,"2018 NBA Draft, Undrafted",CameroonEngland,2015-2016
Darrius Defoe,PF,6-9,220,Newcastle Eagles,London,"2006 NBA Draft, Undrafted",DominicaEngland,2015-2016
Sam Dekker,SF,6-9,230,London Lions,Sheboygan (WI),2015 Rnd 1 Pick 18,United States,2015-2016
Malcolm Delpeche,C,6-8,215,Newcastle Eagles,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2015-2016
Marcus Delpeche,F,6-7,215,Sheffield Sharks,Wilmington (DE),"2017 NBA Draft, Undrafted",United States,2015-2016
Lachlan Timothy Dent,PG,6-0,174,London Lions,Campbelltown,"2022 NBA Draft, Undrafted",Australia,2015-2016
Joshua Djanogly,C,6-8,215,London Lions,London,"2022 NBA Draft, Undrafted",England,2015-2016
Ian DuBose,G,6-4,210,Caledonia Gladiators,Durham (NC),"2021 NBA Draft, Undrafted",United States,2015-2016
Elvisi Dusha,G,6-2,184,Plymouth City Patriots,London,"2016 NBA Draft, Undrafted",EnglandAlbania,2015-2016
R.J. Eytle-Rock,GF,6-4,225,Sheffield Sharks,London,"2023 NBA Draft, Undrafted",England,2015-2016
Mason Faulkner,SG,6-1,190,Plymouth City Patriots,Glasgow (KY),"2022 NBA Draft, Undrafted",United States,2015-2016
Rodney Glasgow,PG,5-10,170,Sheffield Sharks,Olney (MD),"2014 NBA Draft, Undrafted",United States,2015-2016
Cam Gooden,G,5-11,175,Surrey Scorchers,Frisco (TX),"2023 NBA Draft, Undrafted",United States,2015-2016
Mathew Goodwin,G,6-2,-,Manchester Giants,N/A,2027 NBA Draft Eligible,England,2015-2016
Rowell Graham,SF,6-6,214,Bristol Flyers,London,"2016 NBA Draft, Undrafted",England,2015-2016
Donte Grantham,PF,6-8,215,London Lions,Martinsburg (WV),"2018 NBA Draft, Undrafted",United States,2015-2016
Malek Green,F,6-7,220,Sheffield Sharks,Cincinnati (OH),"2023 NBA Draft, Undrafted",United States,2015-2016
Quade Green,PG,6-0,170,Caledonia Gladiators,Philadelphia (PA),"2021 NBA Draft, Undrafted",United States,2015-2016
Tajh Green,F,6-8,215,Newcastle Eagles,Columbia (SC),"2022 NBA Draft, Undrafted",United States,2015-2016
Brad Greene,C,6-11,270,Bristol Flyers,Lone Pine (CA),"2022 NBA Draft, Undrafted",United States,2015-2016
Rokas Gustys,C,6-9,279,London Lions,Kaunas,"2018 NBA Draft, Undrafted",Lithuania,2015-2016
Jalen Harris,PG,6-1,180,Manchester Giants,Los Angeles (CA),"2023 NBA Draft, Undrafted",United States,2015-2016
Joseph Hart,SF,6-5,205,Plymouth City Patriots,Southend-on-Sea,"2015 NBA Draft, Undrafted",England,2015-2016
Cam Holden,G,6-5,200,Cheshire Phoenix,Forsyth (GA),"2023 NBA Draft, Undrafted",United States,2015-2016
Jaren Holmes,G,6-4,207,Leicester Riders,Romulus (MI),"2023 NBA Draft, Undrafted",United States,2015-2016
Jack Hudson,PG,6-2,194,Cheshire Phoenix,Liverpool,"2015 NBA Draft, Undrafted",England,2015-2016
Jordan Hunt,C,6-9,230,Surrey Scorchers,Lower Hutt,"2020 NBA Draft, Undrafted",New Zealand,2015-2016
Samuel Idowu,SF,6-7,240,Leicester Riders,Brooklyn (NY),"2019 NBA Draft, Undrafted",United StatesEngland,2015-2016
Maceo Jack,G,6-5,190,Cheshire Phoenix,Buffalo (NY),"2022 NBA Draft, Undrafted",United States,2015-2016
C.J. Jackson,PG,6-1,175,Bristol Flyers,Charlotte (NC),"2019 NBA Draft, Undrafted",United States,2015-2016
Trejon Jacob,G,6-5,175,Bristol Flyers,Raleigh (NC),"2020 NBA Draft, Undrafted",United States,2015-2016
Saiquan Jamison,F,6-8,230,Surrey Scorchers,Upper Marlboro (MD),"2020 NBA Draft, Undrafted",United States,2015-2016
Kyle Jimenez,SF,6-2,200,Caledonia Gladiators,Edinburgh,"2020 NBA Draft, Undrafted",Scotland,2015-2016
D'Andre Johnson,C,6-10,210,Plymouth City Patriots,Washington (DC),"2023 NBA Draft, Undrafted",United States,2015-2016
Jordan Johnson,PG,5-11,175,Newcastle Eagles,Waukegan (IL),"2018 NBA Draft, Undrafted",United States,2015-2016
Kedrian Johnson,G,6-3,185,Bristol Flyers,Dallas (TX),"2023 NBA Draft, Undrafted",United States,2015-2016
Kyle Johnson,G,6-4,210,Caledonia Gladiators,Ajax,"2011 NBA Draft, Undrafted",CanadaEngland,2015-2016
Taylor Johnson,G,6-4,180,Plymouth City Patriots,Aledo (TX),"2018 NBA Draft, Undrafted",United States,2015-2016
Callum Jones,SG,6-4,200,Manchester Giants,Manchester,"2010 NBA Draft, Undrafted",England,2015-2016
Mihailo Jovicic,PG,6-2,194,Caledonia Gladiators,Kragujevac,"2021 NBA Draft, Undrafted",Serbia,2015-2016
Bradley Kaboza,F,6-2,194,London Lions,London,"2023 NBA Draft, Undrafted",England,2015-2016
Sauver Kande,F,6-4,185,Newcastle Eagles,London,2024 NBA Draft Eligible,England,2015-2016
Bennett Koch,F,6-10,235,Sheffield Sharks,Ashwaubenon (WI),"2018 NBA Draft, Undrafted",United States,2015-2016
T.J. Lall,F,6-6,202,Leicester Riders,Cambridge,"2018 NBA Draft, Undrafted",Canada,2015-2016
Pasquale Landolfi,F,6-4,194,Bristol Flyers,Dorchester,"2023 NBA Draft, Undrafted",England,2015-2016
Andrew Lawrence,PG,6-1,192,Surrey Scorchers,London,"2013 NBA Draft, Undrafted",England,2015-2016
Austin Lawton,F,6-8,205,Manchester Giants,Eutawville (SC),"2019 NBA Draft, Undrafted",United States,2015-2016
William Lee,F,6-9,206,Manchester Giants,Plantersville (AL),"2018 NBA Draft, Undrafted",United States,2015-2016
Spencer Levi,F,6-8,220,Plymouth City Patriots,St. Louis (MO),"2022 NBA Draft, Undrafted",United States,2015-2016
Nicholas Lewis,PG,6-3,185,Manchester Giants,Scarborough,"2015 NBA Draft, Undrafted",CanadaEngland,2015-2016
Brincey Lomeka,SF,6-5,220,Plymouth City Patriots,N/A,"2023 NBA Draft, Undrafted",England,2015-2016
Te'Jon Lucas,G,6-1,187,Bristol Flyers,Milwaukee (WI),"2022 NBA Draft, Undrafted",United States,2015-2016
Kimbal Mackenzie,PG,6-1,195,Leicester Riders,Oakville,"2019 NBA Draft, Undrafted",CanadaEngland,2015-2016
Fraser Malcolm,PF,6-6,215,Caledonia Gladiators,Falkirk,"2019 NBA Draft, Undrafted",Scotland,2015-2016
Sam Mamuini,G,6-0,198,Newcastle Eagles,Newcastle,2024 NBA Draft Eligible,England,2015-2016
Rickey McGill,PG,6-1,175,Newcastle Eagles,Spring Valley (NY),"2019 NBA Draft, Undrafted",United States,2015-2016
Darius McNeill,G,6-3,185,Manchester Giants,Houston (TX),"2023 NBA Draft, Undrafted",United States,2015-2016
