Year,Position,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2019,G,11,Marko Petrovic,VEL,21.0,27.5,21.875,7.25,15.125,0.59875,4.0,9.375,0.53875,3.375,4.5,0.92875,0.375,4.125,4.5,5.75,1.25,0.0,4.375,5.75
2019,G,12,Domagoj Kanaet,ALK,10.0,31.875,21.0,8.25,20.25,0.5087499999999999,2.375,6.625,0.44625,2.125,3.25,0.80375,5.875,9.0,14.875,3.75,4.0,1.125,4.5,6.875
2019,G,13,Mate Mandic,VRI,24.0,34.375,18.625,7.5,17.25,0.54,1.25,6.75,0.23625000000000002,2.5,4.375,0.7037499999999999,1.375,2.5,3.875,4.625,1.25,0.0,3.125,5.5
2019,G,14,Bruno Peric,VRI,24.0,27.875,16.875,5.75,14.0,0.51,1.5,4.5,0.40625,3.875,5.875,0.84125,1.75,5.625,7.375,4.875,1.625,0.25,4.0,5.375
2019,G,15,Aljosa Sarac,ZAB,6.0,31.75,13.375,5.5,16.875,0.40750000000000003,0.75,7.875,0.125,1.625,2.0,1.0,0.375,4.75,5.125,9.5,1.625,0.0,3.875,5.5
2019,G,16,Andro Anzulovic,ZAB,24.0,26.25,12.0,3.75,11.125,0.42999999999999994,1.875,7.75,0.3075,2.5,3.0,1.05,1.0,3.875,4.875,7.0,4.875,0.375,2.25,4.5
2019,F,1,Marko Tomas,ZAB,2.0,42.125,51.625,18.75,31.25,0.75,5.375,14.25,0.46875,8.875,11.625,0.96125,3.625,8.0,11.625,8.0,5.375,2.625,3.625,3.625
2019,F,2,Elgin Cook,CED,13.0,22.625,31.625,10.5,25.0,0.5225,2.5,8.125,0.39125,8.125,9.5,1.08125,4.375,8.375,12.75,3.625,3.875,1.25,4.125,5.125
2019,F,3,Ozren Pavlovic,VRI,10.0,34.875,30.125,11.625,26.0,0.5575,3.625,12.25,0.3725,3.25,5.375,0.75,2.625,9.25,11.875,3.375,1.125,0.375,3.375,6.5
2019,F,4,Ivan Novacic,CIB,31.0,21.125,28.0,11.0,22.625,0.60625,2.625,8.75,0.37875,3.375,3.875,1.1025,2.5,7.375,10.0,4.75,1.5,0.0,3.5,7.75
2019,F,5,Ivan Vucic,VEL,21.0,31.625,26.625,8.875,17.375,0.64125,2.5,6.125,0.5087499999999999,6.375,9.75,0.81375,2.875,7.25,10.0,3.375,3.125,0.875,3.625,6.75
2019,F,6,Mario Little,ZAD,25.0,27.375,26.25,8.75,21.0,0.5237499999999999,3.875,9.5,0.5087499999999999,4.875,6.0,1.0,1.375,4.125,5.625,7.875,2.375,0.25,5.875,7.625
2019,F,7,Dominic Gilbert,CIB,27.0,18.875,25.125,9.375,17.0,0.6900000000000001,2.0,4.75,0.5475,4.25,6.0,0.8837499999999999,4.25,7.75,12.0,3.25,3.25,0.75,3.125,7.375
2019,F,8,Filip Kordic,HERM,20.0,26.25,24.375,7.875,16.25,0.6025,4.875,10.125,0.59875,3.875,5.75,0.84375,1.75,5.5,7.25,4.75,2.25,0.125,1.25,6.875
2019,F,9,Toni Nakic,SIB,24.0,41.25,24.125,8.375,17.0,0.61375,3.625,7.875,0.5775,3.75,4.5,1.0587499999999999,2.0,6.625,8.625,4.5,2.5,0.625,2.75,5.375
2019,F,10,Ivan Batur,ZAB,24.0,37.875,23.875,9.375,19.375,0.60125,2.0,5.375,0.48125,3.25,4.125,0.9750000000000001,2.5,5.125,7.625,6.75,2.0,0.25,3.75,4.75
2019,F,11,Jan Palokaj,BOS,22.0,40.125,23.75,8.375,19.875,0.5287499999999999,2.25,7.0,0.39125,4.625,6.25,0.92875,2.125,7.25,9.375,4.75,1.25,0.25,4.0,6.5
2019,F,12,Ante Masic,VEL,25.0,30.625,22.875,7.5,17.625,0.5275,2.625,7.75,0.42750000000000005,5.25,6.875,0.96375,1.75,6.625,8.375,4.0,2.0,0.5,3.375,5.25
2019,F,13,Marin Rozic,CIB,24.0,24.375,22.875,9.0,17.375,0.64875,2.625,8.25,0.39125,2.25,3.75,0.77625,1.625,6.875,8.625,5.625,1.75,0.75,3.125,4.75
